"C_d","d2","d98","C_q","q2","q98","Well","MST_sample_number","spcabbr","conc_copies_per_uL","Accepted_Droplets","Positives","Negatives","Tot_drop","init_concentration","ddpcrno","Bemaerkn","conc_qubit_ng_uL","Dato.for.ekstraktion","dato_80C","Dato_for_indsml","Dato_inds","Dyb_lagd01","Dyb_Str_m","Ekstraktionsnummer","Elueringvolumen.AE.buffer.uL","Inst","lokalitet_vanda","Lok_omr01","lok_pos_lat","lok_pos_lon","max_Dyb","MST.nummer","MST.n_Dinds","MSTno_di","MST_STEXno","Navn_Inds","Noter2","skib","smplNoSTEX","Sub_Nmb_for_extraction","Temp_Inds","U_Pr_Nr","vandsoejllagd","Vwf_mL","wdt","smpl_day","smpl_mnt","smpl_yea","Total_drop","Species","WellType","Conc","st_idx","species_idx","sp_st_idx","pres"
4.65,4.64,4.67,4.17,4.03,4.28,"A07","MST2021043","Psefar",1560.60217285156,19706,14476,5230,19706,NA,"ddpcr0023","Dererkunenproevetilraadighed_proeve2erbortkommet",4.41,"2021-dec-08","2021-05-20","2021-05-17","2021-05-17","4",1,"MST-SX22",400,"MSTSJL",93000001,"VSJ20925",56.1316666666667,11.1513361111111,48,"MST2021043","MST2021043_2021-05-17","MST2021043::2021-05-17","MST2021043STEX22_10","alkri_nifso",NA,"Sif","MST2021043STEX22_10","22_10",10.6,"MST2021043","ja",1500,FALSE,17,5,2021,19706,"Psefar","Unknown",1560.60217285156,27,1,27,1
2.36,2.24,2.47,1.41,0.62,1.91,"H02","MST2021044","Psefar",6.19104242324829,10098,53,10045,10098,NA,"ddpcr0023","RIB1510007",2.62,"2021-dec-08","2021-05-20","2021-05-19","2021-05-19",NA,1,"MST-SX22",400,"Sydjylland",91500007,"Soenderhooest",55.3375166666667,8.35012777777778,55,"MST2021044","MST2021044_2021-05-19","MST2021044::2021-05-19","MST2021044STEX22_11","LasseoerstedJensen",NA,"Haig","MST2021044STEX22_11","22_11",11,"MST2021044","nej",1200,FALSE,19,5,2021,10098,"Psefar","Unknown",6.19104242324829,28,1,28,1
1.74,1.55,1.91,0.68,-0.11,1.24,"A03","MST2021049","Psefar",1.41258788108826,19167,23,19144,19167,NA,"ddpcr0023","LISD0027",7.75,"2022-jan-06","2021-05-21","2021-05-21","2021-05-21",NA,10,"MST-SX23",400,"Sydjylland",91650035,"ListerDyb",55.0938666666667,8.56828611111111,11,"MST2021049","MST2021049_2021-05-21","MST2021049::2021-05-21","MST2021049STEX23_10","LasseoerstedJensen",NA,"Fucus","MST2021049STEX23_10","23_10",11,"MST2021049","nej",500,FALSE,21,5,2021,19167,"Psefar","Unknown",1.41258788108826,29,1,29,1
-2.09,-5.93,0.48,-3.72,-5.29,-2.59,"G04","MST2021051","Psefar",0,17061,0,17061,17061,NA,"ddpcr0023",NA,22.5,"2022-feb-01","2021-06-10","2021-06-04","2021-06-04",NA,1,"MST-SX25",400,"MSTNJL",93730002,"93730002_VIB3708_1",56.9543333333333,9.07075,7,"MST2021051","MST2021051_2021-06-04","MST2021051::2021-06-04","MST2021051STEX25_16","RasmusBillegrav",NA,"Frigg","MST2021051STEX25_16","25_16",150.8,"MST2021051","nej",1700,FALSE,4,6,2021,17061,"Psefar","Unknown",0,30,1,30,0
1.26,0.9,1.55,0.86,0.07,1.4,"B03","MST2021052","Psefar",0.471355885267258,17475,7,17468,17475,NA,"ddpcr0023",NA,8.95,"2021-nov-24","2021-06-15","2021-06-14","2021-06-14","26",1,"MST-SX21",400,"Fyn",94230001,"FYN6900017",55.4678333333333,10.5169333333333,84,"MST2021052","MST2021052_2021-06-14","MST2021052::2021-06-14","MST2021052STEX21_10","FlemmingNoergaard",NA,"Belone","MST2021052STEX21_10","21_10",17.8,"MST2021052","ja",610,FALSE,14,6,2021,17475,"Psefar","Unknown",0.471355885267258,31,1,31,1
0.4,-0.88,1.19,-3.72,-5.28,-2.56,"F06","MST2021055","Psefar",0.0992425307631493,11855,1,11854,11855,NA,"ddpcr0023",NA,5.3,"2021-nov-24","2021-09-15","2021-09-14","2021-09-14","24",1,"MST-SX21",400,"STO",99000049,"99000049",55.25,15.9833333333333,909,"MST2021055","MST2021055_2021-09-14","MST2021055::2021-09-14","MST2021055STEX21_12","krmsk",NA,"sif","MST2021055STEX21_12","21_12",169.3,"MST2021055","ja",1500,FALSE,14,9,2021,11855,"Psefar","Unknown",0.0992425307631493,32,1,32,1
3.61,3.59,3.64,2.92,2.6,3.17,"A05","MST2021058","Psefar",126.658668518066,17900,1827,16073,17900,NA,"ddpcr0023",NA,3.7,"2021-nov-24","2021-09-03","2021-08-30","2021-08-30","17",1,"MST-SX21",400,"MSTOJL",94300001,"94300001_VEJ0006870",55.6743833333333,10.0845083333333,194,"MST2021058","MST2021058_2021-08-30","MST2021058::2021-08-30","MST2021058STEX21_13","KRISTIANMCGREGOR",NA,"Frigg","MST2021058STEX21_13","21_13",100.7,"MST2021058","ja",1500,FALSE,30,8,2021,17900,"Psefar","Unknown",126.658668518066,33,1,33,1
6.62,5.52,9.3,-1.77,-2.81,-0.89,"F04","MST2021062","Psefar",1e+06,15784,15784,0,15784,NA,"ddpcr0023",NA,19,"2022-feb-01","2021-05-21","2021-05-21","2021-05-21","12",1,"MST-SX25",400,"MSTFYN",95600002,"95600002_FYN6300043",54.9975833333333,10.1654166666667,361,"MST2021062","MST2021062_2021-05-21","MST2021062::2021-05-21","MST2021062STEX25_10","janeRobertsen",NA,"Frigg","MST2021062STEX25_10","25_10",112.2,"MST2021062","ja",1400,FALSE,21,5,2021,15784,"Psefar","Unknown",1e+06,34,1,34,1
-2.11,-5.94,0.44,-2.16,-3.27,-1.27,"B05","MST2021064","Psefar",0,18521,0,18521,18521,NA,"ddpcr0023","Breddegrad:56572400",2.96,"2021-nov-24","2021-09-08","2021-09-02","2021-09-02","na",1,"MST-SX21",400,"MSTNJL",93730002,"93730002_VIB3708_1",56.954,9.05020833333333,76,"MST2021064","MST2021064_2021-09-02","MST2021064::2021-09-02","MST2021064STEX21_15","kristianmcgregor",NA,"Frigg","MST2021064STEX21_15","21_15",173.7,"MST2021064","nej",700,FALSE,2,9,2021,18521,"Psefar","Unknown",0,35,1,35,0
-2.16,-6.18,0.46,-3.71,-5.22,-2.58,"E05","MST2021070","Psefar",0,17890,0,17890,17890,NA,"ddpcr0023",NA,9.1,"2022-jan-11","2021-10-27","2021-10-26","2021-10-26","86",1,"MST-SX24",400,"MSTNJL",93610032,"93610032",56.6626666666667,9.96678333333333,28,"MST2021070","MST2021070_2021-10-26","MST2021070::2021-10-26","MST2021070STEX24_16","RasmusBillegrav",NA,"Frigg","MST2021070STEX24_16","24_16",107.4,"MST2021070","ja",1200,FALSE,26,10,2021,17890,"Psefar","Unknown",0,36,1,36,0
1.47,1.21,1.71,0.72,-0.05,1.27,"C03","MST2021071","Psefar",0.763063609600067,16965,11,16954,16965,NA,"ddpcr0023",NA,6.5,"2022-jan-11","2021-10-21","2021-10-13","2021-10-13",NA,1,"MST-SX24",400,"Fyn",94230001,"FYN6900017",55.4678333333333,10.5169333333333,98,"MST2021071","MST2021071_2021-10-13","MST2021071::2021-10-13","MST2021071STEX24_04","FlemmingNoergaard&PauliJoergensen",NA,"Belone","MST2021071STEX24_04","24_04",11.4,"MST2021071","nej",1500,FALSE,13,10,2021,16965,"Psefar","Unknown",0.763063609600067,37,1,37,1
4.98,4.97,5,1.69,-2.12,4.68,"B04","MST2021075","Psefar",3458.11889648438,18810,17815,995,18810,NA,"ddpcr0023",NA,4.86,"2021-dec-08","2021-05-20","2021-05-11","2021-05-11","13",1,"MST-SX22",400,"MSTOJL",94300001,"VEJ0006870_94300001",55.6743833333333,10.0845083333333,21,"MST2021075","MST2021075_2021-05-11","MST2021075::2021-05-11","MST2021075STEX22_13","janeRobertsen",NA,"Frigg","MST2021075STEX22_13","22_13",98.1,"MST2021075","ja",1100,FALSE,11,5,2021,18810,"Psefar","Unknown",3458.11889648438,38,1,38,1
