"Well"	"replno"	"smpltp"	"templvol"	"QtyID"	"WellType"	"Replicate"	"ThresholddRn"	"CtdRn"	"Quantitycopies"	"RSqdRn"	"SlopedRn"	"qpcrno"	"MONISprojectno"	"AssayID"	"spcabbr"	"plateno"	"qpcrrundate"	"Conc"	"Species"	"Sample_Name"	"Ct"	"MST_sample_number"	"Bemaerkn"	"conc_qubit_ng_uL"	"Dato.for.ekstraktion"	"dato_80C"	"Dato_for_indsml"	"Dato_inds"	"Dyb_lagd01"	"Dyb_Str_m"	"Ekstraktionsnummer"	"Elueringvolumen.AE.buffer.uL"	"Inst"	"lokalitet_vanda"	"Lok_omr01"	"lok_pos_lat"	"lok_pos_lon"	"max_Dyb"	"MST.nummer"	"MST.n_Dinds"	"MSTno_di"	"MST_STEXno"	"Navn_Inds"	"Noter2"	"skib"	"smplNoSTEX"	"Sub_Nmb_for_extraction"	"Temp_Inds"	"U_Pr_Nr"	"vandsoejllagd"	"Vwf_mL"	"wdt"	"smpl_day"	"smpl_mnt"	"smpl_yea"	"init_concentration"
"F10"	30	"MST2021-062"	"3uL"	"QtyorID"	"Unknown"	30	0.0232	"35.61"	"3.592e+001"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	35.92	"Mnelei"	"MST2021-062"	35.61	"MST2021062"	NA	"19"	"2022-feb-01"	"2021-05-21"	"2021-05-21"	"2021-05-21"	"12"	1	"MST-SX25"	400	"MSTFYN"	95600002	"95600002_FYN6300043"	54.9975833333333	10.1654166666667	361	"MST2021062"	"MST2021062_2021-05-21"	"MST2021062::2021-05-21"	"MST2021062STEX25_10"	"janeRobertsen"	NA	"Frigg"	"MST2021062STEX25_10"	"25_10"	112.2	"MST2021062"	"ja"	1400	FALSE	21	5	2021	NA
"F11"	30	"MST2021-062"	"3uL"	"QtyorID"	"Unknown"	30	0.0232	"NoCt"	"NoCt"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	0	"Mnelei"	"MST2021-062"	0	"MST2021062"	NA	"19"	"2022-feb-01"	"2021-05-21"	"2021-05-21"	"2021-05-21"	"12"	1	"MST-SX25"	400	"MSTFYN"	95600002	"95600002_FYN6300043"	54.9975833333333	10.1654166666667	361	"MST2021062"	"MST2021062_2021-05-21"	"MST2021062::2021-05-21"	"MST2021062STEX25_10"	"janeRobertsen"	NA	"Frigg"	"MST2021062STEX25_10"	"25_10"	112.2	"MST2021062"	"ja"	1400	FALSE	21	5	2021	NA
"F12"	30	"MST2021-062"	"3uL"	"QtyorID"	"Unknown"	30	0.0232	"35.45"	"3.989e+001"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	39.89	"Mnelei"	"MST2021-062"	35.45	"MST2021062"	NA	"19"	"2022-feb-01"	"2021-05-21"	"2021-05-21"	"2021-05-21"	"12"	1	"MST-SX25"	400	"MSTFYN"	95600002	"95600002_FYN6300043"	54.9975833333333	10.1654166666667	361	"MST2021062"	"MST2021062_2021-05-21"	"MST2021062::2021-05-21"	"MST2021062STEX25_10"	"janeRobertsen"	NA	"Frigg"	"MST2021062STEX25_10"	"25_10"	112.2	"MST2021062"	"ja"	1400	FALSE	21	5	2021	NA
"G01"	7	"std3E-1"	"3uL"	"QtyorID"	"Standard"	7	0.0232	"NoCt"	"NoCt"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	0	"Mnelei"	"std3E-1"	0	"std3E1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3
"G02"	7	"std3E-1"	"3uL"	"QtyorID"	"Standard"	7	0.0232	"NoCt"	"NoCt"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	0	"Mnelei"	"std3E-1"	0	"std3E1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3
"G03"	7	"std3E-1"	"3uL"	"QtyorID"	"Standard"	7	0.0232	"NoCt"	"NoCt"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	0	"Mnelei"	"std3E-1"	0	"std3E1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3
"G04"	15	"MST2021-081"	"3uL"	"QtyorID"	"Unknown"	15	0.0232	"29.71"	"1.634e+003"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	1634	"Mnelei"	"MST2021-081"	29.71	"MST2021081"	"RIB1510007"	"3.54"	"2021-nov-24"	"2021-09-21"	"2021-09-20"	"2021-09-20"	NA	1	"MST-SX21"	400	"Sydjylland"	91500007	"Soenderhooest"	55.3375166666667	8.35012777777778	63	"MST2021081"	"MST2021081_2021-09-20"	"MST2021081::2021-09-20"	"MST2021081STEX21_22"	"LasseoerstedJensen"	NA	"Haig"	"MST2021081STEX21_22"	"21_22"	16	"MST2021081"	"nej"	1300	FALSE	20	9	2021	NA
"G05"	15	"MST2021-081"	"3uL"	"QtyorID"	"Unknown"	15	0.0232	"29.67"	"1.683e+003"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	1683	"Mnelei"	"MST2021-081"	29.67	"MST2021081"	"RIB1510007"	"3.54"	"2021-nov-24"	"2021-09-21"	"2021-09-20"	"2021-09-20"	NA	1	"MST-SX21"	400	"Sydjylland"	91500007	"Soenderhooest"	55.3375166666667	8.35012777777778	63	"MST2021081"	"MST2021081_2021-09-20"	"MST2021081::2021-09-20"	"MST2021081STEX21_22"	"LasseoerstedJensen"	NA	"Haig"	"MST2021081STEX21_22"	"21_22"	16	"MST2021081"	"nej"	1300	FALSE	20	9	2021	NA
"G06"	15	"MST2021-081"	"3uL"	"QtyorID"	"Unknown"	15	0.0232	"29.43"	"1.965e+003"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	1965	"Mnelei"	"MST2021-081"	29.43	"MST2021081"	"RIB1510007"	"3.54"	"2021-nov-24"	"2021-09-21"	"2021-09-20"	"2021-09-20"	NA	1	"MST-SX21"	400	"Sydjylland"	91500007	"Soenderhooest"	55.3375166666667	8.35012777777778	63	"MST2021081"	"MST2021081_2021-09-20"	"MST2021081::2021-09-20"	"MST2021081STEX21_22"	"LasseoerstedJensen"	NA	"Haig"	"MST2021081STEX21_22"	"21_22"	16	"MST2021081"	"nej"	1300	FALSE	20	9	2021	NA
"G07"	23	"MST1028"	"3uL"	"QtyorID"	"Unknown"	23	0.0232	"38.42"	"5.82"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	5.82	"Mnelei"	"MST1028"	38.42	"MST1028"	NA	"7.15"	"2022-jan-06"	"2021-03-26"	"2021-03-15"	"2021-03-15"	"17"	282	"MST-SX23"	400	"MSTSYD"	95700008	"FFSB0011"	54.8341666666667	9.81666666666667	292	"MST1028"	"MST1028_2021-03-15"	"MST1028::2021-03-15"	"MST1028STEX23_11"	"RasmusBillegrav"	NA	"LivII"	NA	"23_11"	27.8	"MST1028"	"ja"	1600	FALSE	15	3	2021	NA
"G08"	23	"MST1028"	"3uL"	"QtyorID"	"Unknown"	23	0.0232	"39.46"	"2.96"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	2.96	"Mnelei"	"MST1028"	39.46	"MST1028"	NA	"7.15"	"2022-jan-06"	"2021-03-26"	"2021-03-15"	"2021-03-15"	"17"	282	"MST-SX23"	400	"MSTSYD"	95700008	"FFSB0011"	54.8341666666667	9.81666666666667	292	"MST1028"	"MST1028_2021-03-15"	"MST1028::2021-03-15"	"MST1028STEX23_11"	"RasmusBillegrav"	NA	"LivII"	NA	"23_11"	27.8	"MST1028"	"ja"	1600	FALSE	15	3	2021	NA
"G09"	23	"MST1028"	"3uL"	"QtyorID"	"Unknown"	23	0.0232	"38.74"	"4.73"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	4.73	"Mnelei"	"MST1028"	38.74	"MST1028"	NA	"7.15"	"2022-jan-06"	"2021-03-26"	"2021-03-15"	"2021-03-15"	"17"	282	"MST-SX23"	400	"MSTSYD"	95700008	"FFSB0011"	54.8341666666667	9.81666666666667	292	"MST1028"	"MST1028_2021-03-15"	"MST1028::2021-03-15"	"MST1028STEX23_11"	"RasmusBillegrav"	NA	"LivII"	NA	"23_11"	27.8	"MST1028"	"ja"	1600	FALSE	15	3	2021	NA
"G10"	31	"MST2021-051"	"3uL"	"QtyorID"	"Unknown"	31	0.0232	"NoCt"	"NoCt"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	0	"Mnelei"	"MST2021-051"	0	"MST2021051"	NA	"22.5"	"2022-feb-01"	"2021-06-10"	"2021-06-04"	"2021-06-04"	NA	1	"MST-SX25"	400	"MSTNJL"	93730002	"93730002_VIB3708_1"	56.9543333333333	9.07075	7	"MST2021051"	"MST2021051_2021-06-04"	"MST2021051::2021-06-04"	"MST2021051STEX25_16"	"RasmusBillegrav"	NA	"Frigg"	"MST2021051STEX25_16"	"25_16"	150.8	"MST2021051"	"nej"	1700	FALSE	4	6	2021	NA
"G11"	31	"MST2021-051"	"3uL"	"QtyorID"	"Unknown"	31	0.0232	"NoCt"	"NoCt"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	0	"Mnelei"	"MST2021-051"	0	"MST2021051"	NA	"22.5"	"2022-feb-01"	"2021-06-10"	"2021-06-04"	"2021-06-04"	NA	1	"MST-SX25"	400	"MSTNJL"	93730002	"93730002_VIB3708_1"	56.9543333333333	9.07075	7	"MST2021051"	"MST2021051_2021-06-04"	"MST2021051::2021-06-04"	"MST2021051STEX25_16"	"RasmusBillegrav"	NA	"Frigg"	"MST2021051STEX25_16"	"25_16"	150.8	"MST2021051"	"nej"	1700	FALSE	4	6	2021	NA
"G12"	31	"MST2021-051"	"3uL"	"QtyorID"	"Unknown"	31	0.0232	"NoCt"	"NoCt"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	0	"Mnelei"	"MST2021-051"	0	"MST2021051"	NA	"22.5"	"2022-feb-01"	"2021-06-10"	"2021-06-04"	"2021-06-04"	NA	1	"MST-SX25"	400	"MSTNJL"	93730002	"93730002_VIB3708_1"	56.9543333333333	9.07075	7	"MST2021051"	"MST2021051_2021-06-04"	"MST2021051::2021-06-04"	"MST2021051STEX25_16"	"RasmusBillegrav"	NA	"Frigg"	"MST2021051STEX25_16"	"25_16"	150.8	"MST2021051"	"nej"	1700	FALSE	4	6	2021	NA
"H01"	8	"std3ENTC"	"3uL"	"QtyorID"	"NTC"	8	0.0232	"NoCt"	"NoCt"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	0	"Mnelei"	"std3ENTC"	0	"std3ENTC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"H02"	8	"std3ENTC"	"3uL"	"QtyorID"	"NTC"	8	0.0232	"40.41"	"1.60"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	1.6	"Mnelei"	"std3ENTC"	40.41	"std3ENTC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"H03"	8	"std3ENTC"	"3uL"	"QtyorID"	"NTC"	8	0.0232	"NoCt"	"NoCt"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	0	"Mnelei"	"std3ENTC"	0	"std3ENTC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"H04"	16	"MST2021-044"	"3uL"	"QtyorID"	"Unknown"	16	0.0232	"NoCt"	"NoCt"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	0	"Mnelei"	"MST2021-044"	0	"MST2021044"	"RIB1510007"	"2.62"	"2021-dec-08"	"2021-05-20"	"2021-05-19"	"2021-05-19"	NA	1	"MST-SX22"	400	"Sydjylland"	91500007	"Soenderhooest"	55.3375166666667	8.35012777777778	55	"MST2021044"	"MST2021044_2021-05-19"	"MST2021044::2021-05-19"	"MST2021044STEX22_11"	"LasseoerstedJensen"	NA	"Haig"	"MST2021044STEX22_11"	"22_11"	11	"MST2021044"	"nej"	1200	FALSE	19	5	2021	NA
"H05"	16	"MST2021-044"	"3uL"	"QtyorID"	"Unknown"	16	0.0232	"NoCt"	"NoCt"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	0	"Mnelei"	"MST2021-044"	0	"MST2021044"	"RIB1510007"	"2.62"	"2021-dec-08"	"2021-05-20"	"2021-05-19"	"2021-05-19"	NA	1	"MST-SX22"	400	"Sydjylland"	91500007	"Soenderhooest"	55.3375166666667	8.35012777777778	55	"MST2021044"	"MST2021044_2021-05-19"	"MST2021044::2021-05-19"	"MST2021044STEX22_11"	"LasseoerstedJensen"	NA	"Haig"	"MST2021044STEX22_11"	"22_11"	11	"MST2021044"	"nej"	1200	FALSE	19	5	2021	NA
"H06"	16	"MST2021-044"	"3uL"	"QtyorID"	"Unknown"	16	0.0232	"NoCt"	"NoCt"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	0	"Mnelei"	"MST2021-044"	0	"MST2021044"	"RIB1510007"	"2.62"	"2021-dec-08"	"2021-05-20"	"2021-05-19"	"2021-05-19"	NA	1	"MST-SX22"	400	"Sydjylland"	91500007	"Soenderhooest"	55.3375166666667	8.35012777777778	55	"MST2021044"	"MST2021044_2021-05-19"	"MST2021044::2021-05-19"	"MST2021044STEX22_11"	"LasseoerstedJensen"	NA	"Haig"	"MST2021044STEX22_11"	"22_11"	11	"MST2021044"	"nej"	1200	FALSE	19	5	2021	NA
"H07"	24	"MST1027"	"3uL"	"QtyorID"	"Unknown"	24	0.0232	"40.65"	"1.37"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	1.37	"Mnelei"	"MST1027"	40.65	"MST1027"	NA	"5.4"	"2022-feb-01"	"2021-03-26"	"2021-03-19"	"2021-03-19"	"95"	155	"MST-SX25"	400	"MSTFYN"	96510125	"Sydfynskeoehav_BF11"	55.0262	10.3685111111111	165	"MST1027"	"MST1027_2021-03-19"	"MST1027::2021-03-19"	"MST1027STEX25_15"	"RasmusBillegrav"	NA	"LivII"	NA	"25_15"	42	"MST1027"	"ja"	1500	FALSE	19	3	2021	NA
"H08"	24	"MST1027"	"3uL"	"QtyorID"	"Unknown"	24	0.0232	"39.89"	"2.25"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	2.25	"Mnelei"	"MST1027"	39.89	"MST1027"	NA	"5.4"	"2022-feb-01"	"2021-03-26"	"2021-03-19"	"2021-03-19"	"95"	155	"MST-SX25"	400	"MSTFYN"	96510125	"Sydfynskeoehav_BF11"	55.0262	10.3685111111111	165	"MST1027"	"MST1027_2021-03-19"	"MST1027::2021-03-19"	"MST1027STEX25_15"	"RasmusBillegrav"	NA	"LivII"	NA	"25_15"	42	"MST1027"	"ja"	1500	FALSE	19	3	2021	NA
"H09"	24	"MST1027"	"3uL"	"QtyorID"	"Unknown"	24	0.0232	"41.74"	"6.775e-001"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	0.6775	"Mnelei"	"MST1027"	41.74	"MST1027"	NA	"5.4"	"2022-feb-01"	"2021-03-26"	"2021-03-19"	"2021-03-19"	"95"	155	"MST-SX25"	400	"MSTFYN"	96510125	"Sydfynskeoehav_BF11"	55.0262	10.3685111111111	165	"MST1027"	"MST1027_2021-03-19"	"MST1027::2021-03-19"	"MST1027STEX25_15"	"RasmusBillegrav"	NA	"LivII"	NA	"25_15"	42	"MST1027"	"ja"	1500	FALSE	19	3	2021	NA
"H10"	32	"MST2021-099"	"3uL"	"QtyorID"	"Unknown"	32	0.0232	"27.22"	"8.208e+003"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	8208	"Mnelei"	"MST2021-099"	27.22	"MST2021099"	NA	"5.4"	"2022-jan-11"	"2021-08-25"	"2021-08-24"	"2021-08-24"	"3"	1	"MST-SX24"	400	"MSTOJL"	94400007	"94400007_ARH170006"	56.1544166666667	10.3166972222222	16	"MST2021099"	"MST2021099_2021-08-24"	"MST2021099::2021-08-24"	"MST2021099STEX24_19"	"RasmusBillegrav"	NA	"Frigg"	"MST2021099STEX24_19"	"24_19"	175.1	"MST2021099"	"ja"	1500	FALSE	24	8	2021	NA
"H11"	32	"MST2021-099"	"3uL"	"QtyorID"	"Unknown"	32	0.0232	"27.26"	"8.002e+003"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	8002	"Mnelei"	"MST2021-099"	27.26	"MST2021099"	NA	"5.4"	"2022-jan-11"	"2021-08-25"	"2021-08-24"	"2021-08-24"	"3"	1	"MST-SX24"	400	"MSTOJL"	94400007	"94400007_ARH170006"	56.1544166666667	10.3166972222222	16	"MST2021099"	"MST2021099_2021-08-24"	"MST2021099::2021-08-24"	"MST2021099STEX24_19"	"RasmusBillegrav"	NA	"Frigg"	"MST2021099STEX24_19"	"24_19"	175.1	"MST2021099"	"ja"	1500	FALSE	24	8	2021	NA
"H12"	32	"MST2021-099"	"3uL"	"QtyorID"	"Unknown"	32	0.0232	"26.90"	"1.010e+004"	0.993	-3.556	"qpcr929"	"MONIS6"	"AssID19"	"Mnelei"	"plt01"	"qpcrrundate20220426"	10100	"Mnelei"	"MST2021-099"	26.9	"MST2021099"	NA	"5.4"	"2022-jan-11"	"2021-08-25"	"2021-08-24"	"2021-08-24"	"3"	1	"MST-SX24"	400	"MSTOJL"	94400007	"94400007_ARH170006"	56.1544166666667	10.3166972222222	16	"MST2021099"	"MST2021099_2021-08-24"	"MST2021099::2021-08-24"	"MST2021099STEX24_19"	"RasmusBillegrav"	NA	"Frigg"	"MST2021099STEX24_19"	"24_19"	175.1	"MST2021099"	"ja"	1500	FALSE	24	8	2021	NA
"A01"	1	"std3E5"	"3uL"	"QtyorID"	"Standard"	1	0.0269	"22.78"	"3.00e+005"	0.986	-3.494	"qpcr930"	"MONIS6"	"AssID19"	"Mnelei"	"plt02"	"qpcrrundate20220427"	3e+05	"Mnelei"	"std3E5"	22.78	"std3E5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3e+05
"A02"	1	"std3E5"	"3uL"	"QtyorID"	"Standard"	1	0.0269	"22.06"	"3.00e+005"	0.986	-3.494	"qpcr930"	"MONIS6"	"AssID19"	"Mnelei"	"plt02"	"qpcrrundate20220427"	3e+05	"Mnelei"	"std3E5"	22.06	"std3E5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3e+05
"A03"	1	"std3E5"	"3uL"	"QtyorID"	"Standard"	1	0.0269	"22.50"	"3.00e+005"	0.986	-3.494	"qpcr930"	"MONIS6"	"AssID19"	"Mnelei"	"plt02"	"qpcrrundate20220427"	3e+05	"Mnelei"	"std3E5"	22.5	"std3E5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3e+05
"A04"	9	"MST2021-058"	"3uL"	"QtyorID"	"Unknown"	9	0.0269	"25.57"	"3.734e+004"	0.986	-3.494	"qpcr930"	"MONIS6"	"AssID19"	"Mnelei"	"plt02"	"qpcrrundate20220427"	37340	"Mnelei"	"MST2021-058"	25.57	"MST2021058"	NA	"3.7"	"2021-nov-24"	"2021-09-03"	"2021-08-30"	"2021-08-30"	"17"	1	"MST-SX21"	400	"MSTOJL"	94300001	"94300001_VEJ0006870"	55.6743833333333	10.0845083333333	194	"MST2021058"	"MST2021058_2021-08-30"	"MST2021058::2021-08-30"	"MST2021058STEX21_13"	"KRISTIANMCGREGOR"	NA	"Frigg"	"MST2021058STEX21_13"	"21_13"	100.7	"MST2021058"	"ja"	1500	FALSE	30	8	2021	NA
"A05"	9	"MST2021-058"	"3uL"	"QtyorID"	"Unknown"	9	0.0269	"25.19"	"4.790e+004"	0.986	-3.494	"qpcr930"	"MONIS6"	"AssID19"	"Mnelei"	"plt02"	"qpcrrundate20220427"	47900	"Mnelei"	"MST2021-058"	25.19	"MST2021058"	NA	"3.7"	"2021-nov-24"	"2021-09-03"	"2021-08-30"	"2021-08-30"	"17"	1	"MST-SX21"	400	"MSTOJL"	94300001	"94300001_VEJ0006870"	55.6743833333333	10.0845083333333	194	"MST2021058"	"MST2021058_2021-08-30"	"MST2021058::2021-08-30"	"MST2021058STEX21_13"	"KRISTIANMCGREGOR"	NA	"Frigg"	"MST2021058STEX21_13"	"21_13"	100.7	"MST2021058"	"ja"	1500	FALSE	30	8	2021	NA
"A06"	9	"MST2021-058"	"3uL"	"QtyorID"	"Unknown"	9	0.0269	"25.00"	"5.425e+004"	0.986	-3.494	"qpcr930"	"MONIS6"	"AssID19"	"Mnelei"	"plt02"	"qpcrrundate20220427"	54250	"Mnelei"	"MST2021-058"	25	"MST2021058"	NA	"3.7"	"2021-nov-24"	"2021-09-03"	"2021-08-30"	"2021-08-30"	"17"	1	"MST-SX21"	400	"MSTOJL"	94300001	"94300001_VEJ0006870"	55.6743833333333	10.0845083333333	194	"MST2021058"	"MST2021058_2021-08-30"	"MST2021058::2021-08-30"	"MST2021058STEX21_13"	"KRISTIANMCGREGOR"	NA	"Frigg"	"MST2021058STEX21_13"	"21_13"	100.7	"MST2021058"	"ja"	1500	FALSE	30	8	2021	NA
"A07"	17	"MST2021-039"	"3uL"	"QtyorID"	"Unknown"	17	0.0269	"NoCt"	"NoCt"	0.986	-3.494	"qpcr930"	"MONIS6"	"AssID19"	"Mnelei"	"plt02"	"qpcrrundate20220427"	0	"Mnelei"	"MST2021-039"	0	"MST2021039"	NA	"2.72"	"2021-dec-08"	"2021-05-20"	"2021-05-07"	"2021-05-07"	"7m"	1	"MST-SX22"	400	"MST_NJL"	93610032	"MariagerFjord"	56.6626666666667	9.96678333333333	27	"MST2021039"	"MST2021039_2021-05-07"	"MST2021039::2021-05-07"	"MST2021039STEX22_08"	"PHELD_ALKRI"	NA	"Sif"	"MST2021039STEX22_08"	"22_08"	92.8	"MST2021039"	"ja"	1800	FALSE	7	5	2021	NA
"A08"	17	"MST2021-039"	"3uL"	"QtyorID"	"Unknown"	17	0.0269	"NoCt"	"NoCt"	0.986	-3.494	"qpcr930"	"MONIS6"	"AssID19"	"Mnelei"	"plt02"	"qpcrrundate20220427"	0	"Mnelei"	"MST2021-039"	0	"MST2021039"	NA	"2.72"	"2021-dec-08"	"2021-05-20"	"2021-05-07"	"2021-05-07"	"7m"	1	"MST-SX22"	400	"MST_NJL"	93610032	"MariagerFjord"	56.6626666666667	9.96678333333333	27	"MST2021039"	"MST2021039_2021-05-07"	"MST2021039::2021-05-07"	"MST2021039STEX22_08"	"PHELD_ALKRI"	NA	"Sif"	"MST2021039STEX22_08"	"22_08"	92.8	"MST2021039"	"ja"	1800	FALSE	7	5	2021	NA
"A09"	17	"MST2021-039"	"3uL"	"QtyorID"	"Unknown"	17	0.0269	"NoCt"	"NoCt"	0.986	-3.494	"qpcr930"	"MONIS6"	"AssID19"	"Mnelei"	"plt02"	"qpcrrundate20220427"	0	"Mnelei"	"MST2021-039"	0	"MST2021039"	NA	"2.72"	"2021-dec-08"	"2021-05-20"	"2021-05-07"	"2021-05-07"	"7m"	1	"MST-SX22"	400	"MST_NJL"	93610032	"MariagerFjord"	56.6626666666667	9.96678333333333	27	"MST2021039"	"MST2021039_2021-05-07"	"MST2021039::2021-05-07"	"MST2021039STEX22_08"	"PHELD_ALKRI"	NA	"Sif"	"MST2021039STEX22_08"	"22_08"	92.8	"MST2021039"	"ja"	1800	FALSE	7	5	2021	NA
"A10"	25	"MST2021-043"	"3uL"	"QtyorID"	"Unknown"	25	0.0269	"40.47"	"2.04"	0.986	-3.494	"qpcr930"	"MONIS6"	"AssID19"	"Mnelei"	"plt02"	"qpcrrundate20220427"	2.04	"Mnelei"	"MST2021-043"	40.47	"MST2021043"	"Dererkunenproevetilraadighed_proeve2erbortkommet"	"4.41"	"2021-dec-08"	"2021-05-20"	"2021-05-17"	"2021-05-17"	"4"	1	"MST-SX22"	400	"MSTSJL"	93000001	"VSJ20925"	56.1316666666667	11.1513361111111	48	"MST2021043"	"MST2021043_2021-05-17"	"MST2021043::2021-05-17"	"MST2021043STEX22_10"	"alkri_nifso"	NA	"Sif"	"MST2021043STEX22_10"	"22_10"	10.6	"MST2021043"	"ja"	1500	FALSE	17	5	2021	NA
"A11"	25	"MST2021-043"	"3uL"	"QtyorID"	"Unknown"	25	0.0269	"39.78"	"3.20"	0.986	-3.494	"qpcr930"	"MONIS6"	"AssID19"	"Mnelei"	"plt02"	"qpcrrundate20220427"	3.2	"Mnelei"	"MST2021-043"	39.78	"MST2021043"	"Dererkunenproevetilraadighed_proeve2erbortkommet"	"4.41"	"2021-dec-08"	"2021-05-20"	"2021-05-17"	"2021-05-17"	"4"	1	"MST-SX22"	400	"MSTSJL"	93000001	"VSJ20925"	56.1316666666667	11.1513361111111	48	"MST2021043"	"MST2021043_2021-05-17"	"MST2021043::2021-05-17"	"MST2021043STEX22_10"	"alkri_nifso"	NA	"Sif"	"MST2021043STEX22_10"	"22_10"	10.6	"MST2021043"	"ja"	1500	FALSE	17	5	2021	NA
