Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psefar
12693.34,111.4961,1
11488.35,215.5127,1
12181.84,110.8472,1
1635.757,356.1542,0
13211.91,221.7183,1
12037.57,213.8447,1
1686.071,441.3536,0
12492.223,96.1,
12503.22,268.2646,1
11914.43,224.2427,1
11874.68,107.6543,1
1746.695,454.0555,0
1800.638,384.9648,0
1705.016,341.0796,0
13047.47,256.0903,1
12703.38,155.7153,1
6764.77,129.7446,1
12683.05,294.7715,1
1740.471,392.4739,0
12028.93,138.7368,1
12258.237,0234.1,
12208.87,221.6899,1
13062.16,22.3208,1
13376.85,111.6001,1
1704.457,392.2726,0
13282.95,117.3755,1
1690.898,372.4157,0
11644.92,213.4175,1
12864.86,11.06006,1
1797.16,325.4701,0
12579.48,62.375,1
12670.3,207.728,1
11912.58,294.8691,1
1692.328,353.0667,0
12756.87,120.4888,1
1675.058,372.6976,0
1699.454,419.8487,0
12983.95,108.3828,1
1629.743,408.9628,0
1625.698,383.0333,0
1681.683,408.4519,0
13639.75,247.8076,1
11575.31,35.61523,1
12731.24,164.5127,1
1733.138,371.0087,0
12577.69,152.1724,1
11653.25,132.6401,1
1662.157,400.0259,0
11950.05,224.2168,1
1605.303,323.3466,0
12071.47,289.1357,1
1596.261,421.3384,0
1722.8,320.9301,0
12265.19,105.3672,1
13002.36,178.0352,1
12727.53,208.5825,1
1676.695,385.9732,0
1557.229,390.2975,0
12100.51,403.2788,1
13623.9,196.9199,1
1755.084,355.2733,0
10317.4,253.5586,1
12190.82,156.1519,1
1728.238,477.4937,0
1697.086,415.4468,0
12442.67,259.8467,1
1625.568,421.57,0
12369.29,103.3496,1
11205.6,239.3574,1
12476.29,163.4819,1
1686.62,248.1203,0
12603.34,-50.43213,1
12485.37,144.3032,1
12858.19,-2.606934,1
12213.26,-33.3291,1
1824.343,357.8536,0
1694.057,350.5632,0
11815.89,237.5259,1
12334.28,88.53027,1
1714.747,373.1224,0
13057.42,102.2578,1
12263.2,218.4741,1
12489.34,104.9414,1
11738.47,172.4951,1
1634.912,353.0297,0
10437.63,175.3213,1
11957.82,142.9717,1
12096.03,276.1855,1
12772.52,3.038086,1
12547.36,202.936,1
1696.449,376.978,0
12584.51,192.6997,1
12212.7,16.0498,1
12392.96,131.3037,1
12170.49,-86.7168,1
12691.55,142.1084,1
12098.27,137.5957,1
12757.66,150.9463,1
1642.91,398.0033,0
10648.1,167.7993,1
11569.38,263.1567,1
12780.35,196.6597,1
11881.81,240.5796,1
12004.59,138.2432,1
1711.138,366.9007,0
12141.2,302.4556,1
12512.68,121.6162,1
1613.373,323.9922,0
1591.327,358.7853,0
12738.22,117.855,1
