Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Colper
915.3947,243.6243,0
1288.064,380.3517,0
1125.174,384.3542,0
1038.638,157.2612,0
1540.459,451.6899,0
1024.252,322.6477,0
1191.439,360.9208,0
1354.997,359.7606,0
1177.511,374.1896,0
1302.841,305.5115,0
1387.233,371.267,0
1162.268,356.7375,0
1205.331,422.1512,0
915.1474,215.5821,0
996.0284,257.1597,0
1050.058,543.3477,0
914.4742,215.1018,0
1270.049,434.2708,0
933.7152,202.506,0
1018.335,314.0881,0
988.5303,290.685,0
1262.346,338.8973,0
920.4908,268.9796,0
1055.586,309.584,0
935.2261,248.9695,0
1159.655,378.1126,0
945.9705,281.8865,0
912.3038,229.876,0
948.1522,245.925,0
882.9139,208.68,0
900.0476,255.248,0
987.8584,272.795,0
1273.673,330.974,0
1227.632,389.6657,0
910.9058,182.5005,0
1437.221,436.8181,0
907.3794,208.9656,0
1014.099,220.7607,0
801.0856,204.6013,0
948.1584,246.3463,0
940.8835,254.1683,0
877.6685,167.6662,0
1091.986,255.5588,0
1268.98,335.7144,0
872.4367,135.4475,0
1018.71,261.8116,0
930.9287,228.5353,0
1189.293,322.4485,0
916.6612,325.579,0
1431.372,384.0241,0
1047.99,315.0612,0
945.8668,125.2856,0
1062.709,216.3837,0
901.0469,240.394,0
980.928,231.6465,0
903.3409,132.7186,0
852.7814,252.6485,0
1257.988,352.8776,0
959.8916,157.5058,0
991.2252,215.7305,0
1197.966,410.6682,0
1293.362,421.2636,0
1466.436,381.1833,0
1325.571,371.6882,0
1302.558,348.0302,0
1270.474,410.9092,0
961.3268,313.3214,0
962.2044,196.2393,0
1271.204,412.4499,0
879.0383,239.1226,0
894.6071,248.8135,0
925.489,215.4526,0
1198.604,427.2843,0
1217.036,309.071,0
1349.287,418.8519,0
1348.284,440.7087,0
1317.527,455.007,0
825.9019,163.8675,0
986.0931,244.3384,0
1057.661,248.7695,0
1270.549,425.3865,0
1245.277,380.1051,0
1268.391,329.6318,0
1308.405,443.0455,0
984.3981,268.8566,0
1291.545,479.9374,0
926.1506,177.1989,0
885.1635,199.4051,0
1219.796,303.1264,0
811.6747,251.9534,0
1284.404,457.84,0
1099.809,400.6618,0
983.6166,194.8878,0
928.4096,192.8504,0
903.0007,228.5691,0
1560.948,453.1957,0
1336.709,424.2008,0
961.2695,207.7834,0
879.3813,217.5469,0
1050.877,227.3416,0
865.9081,253.9946,0
1320.479,439.1606,0
1290.853,381.441,0
1351.613,412.5802,0
1252.538,371.6486,0
911.7245,271.4724,0
1209.948,350.0889,0
838.7455,218.4798,0
1291.948,505.7598,0
1282.848,380.3574,0
1407.602,396.0754,0
1042.83,226.7103,0
1006.746,281.3404,0
922.5419,225.0124,0
728.2328,151.1187,0
858.6583,231.7292,0
837.8442,257.6476,0
1223.038,349.1807,0
920.4366,244.0175,0
1289.071,455.0182,0
1039.156,258.3915,0
1212.043,315.4151,0
883.9756,280.4896,0
1045.39,212.1429,0
989.1144,245.1843,0
1151.749,417.5935,0
1071.806,219.1168,0
894.1744,262.4529,0
1232.988,406.8872,0
1010.091,291.0524,0
1264.348,448.0161,0
905.588,218.1567,0
1254.286,311.9223,0
974.7677,211.2983,0
1193.595,384.0454,0
882.2465,260.3719,0
985.8796,237.8598,0
1376.397,439.3997,0
558.9694,126.5502,0
839.2915,248.5434,0
1133.294,264.7065,0
1350.488,456.2546,0
922.9918,272.0207,0
1302.431,497.4077,0
918.3318,312.7549,0
1397.963,411.0444,0
838.7853,270.3971,0
1326.094,400.0856,0
1352.104,425.3718,0
1303.245,391.5139,0
980.2065,263.2322,0
905.7915,181.0244,0
841.737,242.1114,0
860.0454,206.41,0
893.1028,215.5625,0
1279.645,393.9172,0
1211.174,403.7396,0
977.1521,215.1339,0
1017.186,267.6967,0
1183.805,304.8352,0
1184.392,416.2693,0
1267.899,287.3157,0
1270.95,380.3792,0
1238.454,363.2881,0
928.7795,210.1732,0
1172.638,295.4517,0
1312.726,424.5245,0
1103.656,382.7212,0
949.8271,249.1858,0
1496.146,449.6264,0
875.4825,277.8953,0
929.6187,308.0402,0
1045.546,260.8235,0
1277.464,514.15,0
1251.471,356.4703,0
1288.906,360.0219,0
960.2734,256.2682,0
1000.604,162.1451,0
1306.179,345.5519,0
1209.286,374.4767,0
1431.939,389.8205,0
908.18,243.851,0
1267.216,389.5374,0
976.3596,191.3124,0
1277.547,465.5928,0
991.0258,223.1486,0
923.7368,158.6989,0
957.8408,221.8447,0
1064.669,229.8118,0
945.4395,227.5341,0
973.8929,228.8331,0
1316.347,382.9018,0
1267.825,347.8294,0
920.2499,215.2752,0
1339.154,362.4586,0
1229.851,465.6989,0
918.1005,220.0406,0
938.8795,272.5292,0
934.0582,248.1873,0
894.45,231.5114,0
1191.094,438.9681,0
890.0873,261.3641,0
906.1073,203.2011,0
932.7898,258.8447,0
1206.788,390.3107,0
1244.32,417.7342,0
1194.588,330.3397,0
892.3226,252.2741,0
1339.862,393.0164,0
1270.343,429.3375,0
928.8615,164.9579,0
1349.687,478.6772,0
1026.402,246.2065,0
910.4296,237.209,0
1203.243,394.5319,0
1228.47,381.851,0
1266.441,408.3967,0
893.8639,217.9514,0
935.9924,188.2572,0
1204.687,430.814,0
854.8058,257.7875,0
925.776,244.9926,0
1217.979,399.242,0
1163.39,375.5681,0
1177.495,489.8176,0
990.4237,237.3121,0
912.7267,214.6581,0
1035.271,256.9995,0
964.3878,265.6759,0
1005.627,208.9777,0
1392.089,391.8891,0
852.4686,278.3644,0
963.1599,227.3246,0
912.7377,156.0791,0
1369.394,414.4276,0
1210.335,421.4075,0
900.4132,293.7866,0
831.9323,259.5365,0
834.5812,297.0275,0
1308.649,376.3828,0
916.7308,244.2697,0
874.1714,234.8704,0
945.8921,167.6869,0
910.6936,277.0746,0
867.9479,188.5468,0
1002.722,298.4163,0
1592.593,449.3354,0
1282.379,394.441,0
1260.446,410.7587,0
870.0722,244.0876,0
1192.106,330.3177,0
976.67,236.7628,0
898.4972,203.2994,0
1245.413,368.134,0
844.8226,179.2102,0
953.3401,181.6565,0
996.372,178.8069,0
1193.848,405.0039,0
887.2903,236.4074,0
1064.569,286.5792,0
1253.354,381.5338,0
935.3749,236.3427,0
993.3915,244.9843,0
945.6641,134.5198,0
888.2508,219.0009,0
886.1713,242.5809,0
972.8383,257.9849,0
