"U_Pr_Nr";"Navn_Inds";"skib";"Inst";"Dato_inds";"Lok_omr01";"lokalitet_vanda";"lok_pos_lat";"lok_pos_lon";"max_Dyb";"Dyb_Str_m";"Vwf_mL";"vandsoejllagd";"Dyb_lagd01";"dato_80C";"Temp_Inds";"Bemaerkn";"MST.nummer";"MST.n_Dinds"
"113";"MST0299";"nifso";"Musling";"Nordjylland";"2018-06-11";"Mariager_fjord";"93610032";56.659;9.973333;28;1;"1500";"yes";"unkn";"14/06/2018";NA;NA;"MST0299";"MST0299_2018-06-11"
"114";"MST0136";"Svend_aage_Bendtsen_saabe";"Pingo";"Miljoestyrelsen_Nordjylland";"2018-06-27";"Kragskov_Rev";"93920064";57.540783;10.479267;5.2;4;"1800";"no";"not_avail";"05/07/2018";17;"Vandproever_transporteret_i_land_foer_filtrering_Koelet_med_9_store_koeleelementer";"MST0136";"MST0136_2018-06-27"
"115";"MST0132";"Svend_aage_Bendtsen_saabe";"Pingo";"Miljoestyrelsen_Nordjylland";"2018-06-27";"Kragskov_Rev";"93920064";57.540783;10.479267;5.2;4;"1600";"no";"not_avail";"05/07/2018";17;"Vandproever_transporteret_i_land_foer_filtrering_Koelet_med_9_store_koeleelementer";"MST0132";"MST0132_2018-06-27"
"116";"MST0155";"Svend_aage_Bendtsen_saabe";"Pingo";"Miljoestyrelsen_Nordjylland";"2018-06-27";"Kragskov_Rev";"93920064";57.540783;10.479267;5.2;4;"1900";"no";"not_avail";"05/07/2018";17;"Vandproever_transporteret_i_land_foer_filtrering_Koelet_med_9_store_koeleelementer";"MST0155";"MST0155_2018-06-27"
"117";"MST0280";"Emil_Guddal_Larsen";"Capella";"Sjaelland";"2018-06-27";"ROS60";"93220011";55.713;12.066667;4.8;1;"1500";"no";NA;"27/06/2018";13.4;"Sendt_til_Eurofins_d_27_06_2018";"MST0280";"MST0280_2018-06-27"
"118";"MST0262";"Emil_Guddal_Larsen";"Capella";"Sjaelland";"2018-06-27";"ROS60";"93220011";55.713;12.066667;4.8;1;"1400";"no";NA;"27/06/2018";13.4;"Sendt_til_Eurofins_d_27_06_2019";"MST0262";"MST0262_2018-06-27"
"119";"MST0258";"Emil_Guddal_Larsen";"Capella";"Sjaelland";"2018-06-27";"ROS60";"93220011";55.713;12.066667;4.8;1;"1600";"no";NA;"27/06/2018";13.4;"Sendt_til_Eurofins_d_27_06_2020";"MST0258";"MST0258_2018-06-27"
"120";"MST0273";"Emil_Guddal_Larsen";"SJL_Gummibaad";"Sjaelland";"2018-06-27";"Nivaa_Bugt_MCR230010";"97230016";55.968167;12.566;3;1;"1700";"no";NA;"27/06/2018";13;"Vandproeve_hentet_i_forbindelse_med_makroalgeundersoegelse_i_dybdeinterval_2_4_m_Sendt_til_Eurofins_d_27_06_2018";"MST0273";"MST0273_2018-06-27"
"121";"MST0230";"Emil_Guddal_Larsen";"SJL_Gummibaad";"Sjaelland";"2018-06-27";"Nivaa_Bugt_MCR230010";"97230016";55.968167;12.566;3;1;"1600";"no";NA;"27/06/2018";13;"Vandproeve_hentet_i_forbindelse_med_makroalgeundersoegelse_i_dybdeinterval_2_4_m_Sendt_til_Eurofins_d_27_06_2018";"MST0230";"MST0230_2018-06-27"
"122";"MST0271";"Emil_Guddal_Larsen";"SJL_Gummibaad";"Sjaelland";"2018-06-27";"Nivaa_Bugt_MCR230010";"97230016";55.968167;12.566;3;1;"1600";"no";NA;"27/06/2018";13;"Vandproeve_hentet_i_forbindelse_med_makroalgeundersoegelse_i_dybdeinterval_2_4_m_Sendt_til_Eurofins_d_27_06_2018";"MST0271";"MST0271_2018-06-27"
"123";"MST0107";"JAOLA_AMLIN";"Graasaelen";"STO";"2018-07-06";"ENoe_NORD_0101142";"96220363";55.161633;11.65835;4.8;3.5;"1400";"no";"not_avail";"06/07/2018";19.3;NA;"MST0107";"MST0107_2018-07-06"
"124";"MST0104";"JAOLA_AMLIN";"Graasaelen";"STO";"2018-07-06";"ENoe_NORD_0101142";"96220363";55.161633;11.65835;4.8;3.5;"1300";"no";"not_avail";"06/07/2018";19.3;NA;"MST0104";"MST0104_2018-07-06"
"125";"MST0113";"JAOLA_AMLIN";"Graasaelen";"STO";"2018-07-06";"ENoe_NORD_0101142";"96220363";55.161633;11.65835;4.8;3.5;"1100";"no";"not_avail";"06/07/2018";19.3;NA;"MST0113";"MST0113_2018-07-06"
"126";"MST0128";"Mie_Kjaer_Hoehne";"Fucus";"MST_Sydjylland";"2018-08-07";"RIB1510007";"91500007";55.337583;8.350617;6;1;"1200";"no";NA;NA;21.5;NA;"MST0128";"MST0128_2018-08-07"
"127";"MST0123";"Mie_Kjaer_Hoehne";"Fucus";"MST_Sydjylland";"2018-08-07";"RIB1510007";"91500007";55.337583;8.350617;6;1;"1200";"no";NA;NA;21.5;NA;"MST0123";"MST0123_2018-08-07"
"128";"MST0127";"Mie_Kjaer_Hoehne";"Fucus";"MST_Sydjylland";"2018-08-07";"RIB1510007";"91500007";55.337583;8.350617;6;1;"1300";"no";NA;NA;21.5;NA;"MST0127";"MST0127_2018-08-07"
"129";"MST0143";"Emil_Guddal_Larsen";"Capella";"Sjaelland";"2018-08-16";"ROS60";"93220011";55.713;12.066667;4.8;1;"1600";"no";NA;"16/08/2018";20.4;"Sendt_til_Eurofins_d_16_08_2018";"MST0143";"MST0143_2018-08-16"
"130";"MST0138";"Emil_Guddal_Larsen";"Capella";"Sjaelland";"2018-08-16";"ROS60";"93220011";55.713;12.066667;4.8;1;"1800";"no";NA;"16/08/2018";20.4;"Sendt_til_Eurofins_d_16_08_2019";"MST0138";"MST0138_2018-08-16"
"131";"MST0141";"Emil_Guddal_Larsen";"Capella";"Sjaelland";"2018-08-16";"ROS60";"93220011";55.713;12.066667;4.8;1;"1500";"no";NA;"16/08/2018";20.4;"Sendt_til_Eurofins_d_16_08_2020";"MST0141";"MST0141_2018-08-16"
"132";"MST0225";"Ulrich_Berggren_Jensen_ulbje";"Liv_II";"Miljoestyrelsen_Fyn";"2018-08-17";"FYN6300043";"95600002";54.9975;10.160833;35;1;"1200";"yes";"4.5";"17/08/2018";20.5;"Udtagningstidspunktet_aendret_til_kl_1305_efter_telefonisk_aftale_med_ulbje_den_200818_Proeverne_er_blevet_kasseret_grundet_fejlhaandtering_efter_modtagelsen_hos_Eurofins_Nye_proever_udtaget_den_28082018_Afsendt_til_Eurofins_den_17082018";"MST0225";"MST0225_2018-08-17"
"133";"MST0231";"Ulrich_Berggren_Jensen_ulbje";"Liv_II";"Miljoestyrelsen_Fyn";"2018-08-17";"FYN6300043";"95600002";54.9975;10.160833;35;1;"1300";"yes";"4.5";"17/08/2018";20.5;"Udtagningstidspunktet_aendret_til_kl_1305_efter_telefonisk_aftale_med_ulbje_den_200818_Proeverne_er_blevet_kasseret_grundet_fejlhaandtering_efter_modtagelsen_hos_Eurofins_Nye_proever_udtaget_den_28082018";"MST0231";"MST0231_2018-08-17"
"134";"MST0259";"Ulrich_Berggren_Jensen_ulbje";"Liv_II";"Miljoestyrelsen_Fyn";"2018-08-17";"FYN6300043";"95600002";54.9975;10.160833;35;1;"1110";"yes";"4.5";"17/08/2018";20.5;"Udtagningstidspunktet_aendret_til_kl_1305_efter_telefonisk_aftale_med_ulbje_den_200818_Proeverne_er_blevet_kasseret_grundet_fejlhaandtering_efter_modtagelsen_hos_Eurofins_Nye_proever_udtaget_den_28082018";"MST0259";"MST0259_2018-08-17"
"135";"MST0240";"Jane_Robertsen_jarob_20629477";"LIV_II";"MST_oestjylland";"2018-08-23";"VEJ0006870";"94300001";55.674047;10.090607;20.2;1;"1500";"yes";"7.0";"28/08/2018";18.2;NA;"MST0240";"MST0240_2018-08-23"
"136";"MST0245";"Jane_Robertsen_jarob_20629477";"LIV_II";"MST_oestjylland";"2018-08-23";"VEJ0006870";"94300001";55.674047;10.090607;20.2;1;"1600";"yes";"7.0";"28/08/2018";18.2;NA;"MST0245";"MST0245_2018-08-23"
"137";"MST0257";"Jane_Robertsen_jarob_20629477";"LIV_II";"MST_oestjylland";"2018-08-23";"VEJ0006870";"94300001";55.674047;10.090607;20.2;1;"1600";"yes";"7.0";"28/08/2018";18.2;NA;"MST0257";"MST0257_2018-08-23"
"138";"MST0226";"Jane_Robertsen_jarob_20629477";"LIV_II";"MST_Fyn";"2018-08-28";"FYN6300043";"95600002";54.997398;10.161378;35.6;1;"1200";"yes";"11.5";"28/08/2018";18.2;NA;"MST0226";"MST0226_2018-08-28"
"139";"MST0238";"Jane_Robertsen_jarob_20629477";"LIV_II";"MST_Fyn";"2018-08-28";"FYN6300043";"95600002";54.997398;10.161378;35.6;1;"1500";"yes";"11.5";"28/08/2018";18.2;NA;"MST0238";"MST0238_2018-08-28"
"140";"MST0244";"Jane_Robertsen_jarob_20629477";"LIV_II";"MST_Fyn";"2018-08-28";"FYN6300043";"95600002";54.997398;10.161378;35.6;1;"1500";"yes";"11.5";"28/08/2018";18.2;NA;"MST0244";"MST0244_2018-08-28"
"141";"MST0228";"geped";"Musling";"Nordjylland";"2018-08-29";"Loegstoer_bredning";"93730002";56.954;9.062333;7.4;1;"850";"no";NA;"30/08/2018";17.1;NA;"MST0228";"MST0228_2018-08-29"
"142";"MST0224";"geped";"Musling";"Nordjylland";"2018-08-29";"Loegstoer_bredning";"93730002";56.954;9.062333;7.4;1;"700";"no";NA;"30/08/2018";17.1;NA;"MST0224";"MST0224_2018-08-29"
"143";"MST0227";"geped";"Musling";"Nordjylland";"2018-08-29";"Loegstoer_bredning";"93730002";56.954;9.062333;7.4;1;"700";"no";NA;"30/08/2018";17.1;NA;"MST0227";"MST0227_2018-08-29"
"144";"MST0221";"PHELD";"DAPHNE";"MST_SJaeLLAND";"2018-08-29";"oeresund_Ven_KBH431";"97200002";55.865833;12.749167;50.9;1;"1300";"yes";"12.0";"30/08/2018";17.7;NA;"MST0221";"MST0221_2018-08-29"
"145";"MST0233";"PHELD";"DAPHNE";"MST_SJaeLLAND";"2018-08-29";"oeresund_Ven_KBH431";"97200002";55.865833;12.749167;50.9;1;"1350";"yes";"12.0";"30/08/2018";17.7;NA;"MST0233";"MST0233_2018-08-29"
"146";"MST0248";"PHELD";"DAPHNE";"MST_SJaeLLAND";"2018-08-29";"oeresund_Ven_KBH431";"97200002";55.865833;12.749167;50.9;1;"1400";"yes";"12.0";"30/08/2018";17.7;NA;"MST0248";"MST0248_2018-08-29"
"147";"MST0217";"geped";"Musling";"Midtjylland";"2018-08-30";"Skive_fjord";"93740007";56.620833;9.075833;4.8;1;"900";"yes";"4.0";"30/08/2018";17.3;NA;"MST0217";"MST0217_2018-08-30"
"148";"MST0220";"geped";"Musling";"Midtjylland";"2018-08-30";"Skive_fjord";"93740007";56.620833;9.075833;4.8;1;"900";"yes";"4.0";"30/08/2018";17.3;NA;"MST0220";"MST0220_2018-08-30"
"149";"MST0208";"geped";"Musling";"Midtjylland";"2018-08-30";"Skive_fjord";"93740007";56.620833;9.075833;4.8;1;"900";"yes";"4.0";"30/08/2018";17.3;NA;"MST0208";"MST0208_2018-08-30"
"150";"MST0209";"PHELD";"DAPHNE";"MST_FYN";"2018-08-31";"Arkona_DMU444";"99000052";55.000833;13.296167;47;1;"1500";"yes";"24.0";"31/08/2018";18.2;NA;"MST0209";"MST0209_2018-08-31"
"151";"MST0232";"PHELD";"DAPHNE";"MST_FYN";"2018-08-31";"Arkona_DMU444";"99000052";55.000833;13.296167;47;1;"1500";"yes";"24.0";"31/08/2018";18.2;NA;"MST0232";"MST0232_2018-08-31"
"152";"MST0235";"PHELD";"DAPHNE";"MST_FYN";"2018-08-31";"Arkona_DMU444";"99000052";55.000833;13.296167;47;1;"1500";"yes";"24.0";"31/08/2018";18.2;NA;"MST0235";"MST0235_2018-08-31"
"156";"MST0197";"pheld";"Musling";"Nordjylland";"2018-09-03";"aalborg_bugt";"93000005";56.856667;10.791667;14.5;1;"1500";"yes";"7.0";"04/09/2018";18;NA;"MST0197";"MST0197_2018-09-03"
"157";"MST0198";"pheld";"Musling";"Nordjylland";"2018-09-03";"aalborg_bugt";"93000005";56.856667;10.791667;14.5;1;"1500";"yes";"7.0";"04/09/2018";18;"Ved_afmontering_af_filter_knaekkede_den_ene_ende_af_filtret_hvorfor_denne_er_lukket_med_tape";"MST0198";"MST0198_2018-09-03"
"158";"MST0205";"pheld";"Musling";"Nordjylland";"2018-09-03";"aalborg_bugt";"93000005";56.856667;10.791667;14.5;1;"1500";"yes";"7.0";"04/09/2018";18;NA;"MST0205";"MST0205_2018-09-03"
"159";"MST0193";"pheld";"Musling";"Nordjylland";"2018-09-04";"Mariager_fjord";"93610032";56.662733;9.974033;27.5;1;"1500";"yes";"16.0";"04/09/2018";18.3;NA;"MST0193";"MST0193_2018-09-04"
"160";"MST0194";"pheld";"Musling";"Nordjylland";"2018-09-04";"Mariager_fjord";"93610032";56.662733;9.974033;27.5;1;"1500";"yes";"16.0";"04/09/2018";18.3;NA;"MST0194";"MST0194_2018-09-04"
"161";"MST0196";"pheld";"Musling";"Nordjylland";"2018-09-04";"Mariager_fjord";"93610032";56.662733;9.974033;27.5;1;"1500";"yes";"16.0";"04/09/2018";18.3;NA;"MST0196";"MST0196_2018-09-04"
"162";"MST0243";"jepni_benje";"Penelope";"Midtjylland";"2018-09-04";"RKB1_Ringkoebing_fjord";"91320001";56.076167;8.224333;3.3;1;"420";"no";NA;"04/09/2018";18.2;NA;"MST0243";"MST0243_2018-09-04"
"163";"MST0256";"jepni_benje";"Penelope";"Midtjylland";"2018-09-04";"RKB1_Ringkoebing_fjord";"91320001";56.076167;8.224333;3.3;1;"410";"no";NA;"04/09/2018";18.2;NA;"MST0256";"MST0256_2018-09-04"
"164";"MST0114";"jepni_benje";"Penelope";"Midtjylland";"2018-09-04";"RKB1_Ringkoebing_fjord";"91320001";56.076167;8.224333;3.3;1;"400";"no";NA;"04/09/2018";18.2;NA;"MST0114";"MST0114_2018-09-04"
"165";"MST0237";"Ole_Blohm_Poulsen_olbpo";"BELONE_BELONE";"Miljoestyrelsen_Fyn";"2018-09-10";"ODF17_Odense_Fjord";"94230001";55.478275;10.51792;9.6;1;"1100";"yes";"1.6";"10/09/2018";16.9;NA;"MST0237";"MST0237_2018-09-10"
"166";"MST0236";"Ole_Blohm_Poulsen_olbpo";"BELONE_BELONE";"Miljoestyrelsen_Fyn";"2018-09-10";"ODF17_Odense_Fjord";"94230001";55.478275;10.51792;9.6;1;"1200";"yes";"1.6";"10/09/2018";16.9;NA;"MST0236";"MST0236_2018-09-10"
"167";"MST0249";"Ole_Blohm_Poulsen_olbpo";"BELONE_BELONE";"Miljoestyrelsen_Fyn";"2018-09-10";"ODF17_Odense_Fjord";"94230001";55.478275;10.51792;9.6;1;"1200";"yes";"1.6";"10/09/2018";16.9;NA;"MST0249";"MST0249_2018-09-10"
"168";"MST0095";"Steen_Krogsboell_stkro";"aaboen";"Miljoestyrelsen_Storstroem";"2018-09-18";"BRKBMPK2_910_Bornholm_aabne_del";"99000049";55.25;15.983333;89;1;"1100";"yes";"20.0";"18/10/2018";17;"i_hvert_fald_med_med_unikt_nr_";"MST0095";"MST0095_2018-09-18"
"169";"MST0242";"Steen_Krogsboell_stkro";"aaboen";"Miljoestyrelsen_Storstroem";"2018-09-18";"BRKBMPK2_910_Bornholm_aabne_del";"99000049";55.25;15.983333;89;1;"1500";"yes";"20.0";"18/10/2018";17;"i_hvert_fald_med_med_unikt_nr_";"MST0242";"MST0242_2018-09-18"
"170";"MST0247";"Steen_Krogsboell_stkro";"aaboen";"Miljoestyrelsen_Storstroem";"2018-09-18";"BRKBMPK2_910_Bornholm_aabne_del";"99000049";55.25;55.250017;89;1;"1600";"yes";"20.0";"18/10/2018";17;"i_hvert_fald_med_med_unikt_nr_";"MST0247";"MST0247_2018-09-18"
"171";"MST0210";"PHELD";"DAPHNE";"MST_SJaeLLAND";"2018-09-19";"Gniben_VSJ20925";"94300001";56.131667;11.156667;49.7;1;"1500";"yes";"12.8";"19/09/2018";16.6;NA;"MST0210";"MST0210_2018-09-19"
"172";"MST0218";"PHELD";"DAPHNE";"MST_SJaeLLAND";"2018-09-19";"Gniben_VSJ20925";"94300001";56.131667;11.156667;49.7;1;"1600";"yes";"12.8";"19/09/2018";16.6;NA;"MST0218";"MST0218_2018-09-19"
"173";"MST0219";"PHELD";"DAPHNE";"MST_SJaeLLAND";"2018-09-19";"Gniben_VSJ20925";"94300001";56.131667;11.156667;49.7;1;"1500";"yes";"12.8";"19/09/2018";16.6;NA;"MST0219";"MST0219_2018-09-19"
"174";"MST0112";"JAOLA_AMLIN";"Chara";"STO";"2018-09-25";"Hovedskov_1001027";"99210007";54.740283;12.099767;11;10;"1100";"no";"not_avail";"25/09/2018";15;NA;"MST0112";"MST0112_2018-09-25"
"175";"MST0109";"JAOLA_AMLIN";"Chara";"STO";"2018-09-25";"Hovedskov_1001027";"99210007";54.740283;12.099767;11;10;"1100";"no";"not_avail";"25/09/2018";15;NA;"MST0109";"MST0109_2018-09-25"
"176";"MST0111";"JAOLA_AMLIN";"Chara";"STO";"2018-09-25";"Hovedskov_1001027";"99210007";54.740283;12.099767;11;10;"1000";"no";"not_avail";"25/09/2018";15;NA;"MST0111";"MST0111_2018-09-25"
"177";"MST0206";"JAROB_20629477";"LIV_II";"oestjylland";"2018-09-25";"ARH170006";"94400007";56.154495;10.319002;16.2;1;"1600";"yes";"11.0";"27/09/2018";14.3;"E_Dna_indsamlet_d_25_09_2018_Fyto_indsamlet_d_27_09_2018";"MST0206";"MST0206_2018-09-25"
"178";"MST0211";"JAROB_20629477";"LIV_II";"oestjylland";"2018-09-25";"ARH170006";"94400007";56.154495;10.319002;16.2;1;"1600";"yes";"11.0";"27/09/2018";14.3;"E_Dna_indsamlet_d_25_09_2018_Fyto_indsamlet_d_27_09_2018";"MST0211";"MST0211_2018-09-25"
"179";"MST0214";"JAROB_20629477";"LIV_II";"oestjylland";"2018-09-25";"ARH170006";"94400007";56.154495;10.319002;16.2;1;"1650";"yes";"11.0";"27/09/2018";14.3;"E_Dna_indsamlet_d_25_09_2018_Fyto_indsamlet_d_27_09_2018";"MST0214";"MST0214_2018-09-25"
"180";"MST0110";"JAOLA_NICEA_AMLIN";"Chara";"STO";"2018-10-10";"Femern_Baelt_Vest_0401011";"98210012";54.734667;11.0912;5.2;4.2;"1100";"no";"not_avail";"10/10/2018";11;NA;"MST0110";"MST0110_2018-10-10"
"181";"MST0105";"JAOLA_NICEA_AMLIN";"Chara";"STO";"2018-10-10";"Femern_Baelt_Vest_0401011";"98210012";54.734667;11.0912;5.2;4.2;"1300";"no";"not_avail";"10/10/2018";11;NA;"MST0105";"MST0105_2018-10-10"
"182";"MST0106";"JAOLA_NICEA_AMLIN";"Chara";"STO";"2018-10-10";"Femern_Baelt_Vest_0401011";"98210012";54.734667;11.0912;5.2;4.2;"1100";"no";"not_avail";"10/10/2018";11;NA;"MST0106";"MST0106_2018-10-10"
"183";"MST0174";"NisFlinkSoerensen";"LivII";"Fyn";"2019-06-04";"fyn6300043";"95600002";54.9977527777778;10.1669472222222;34;1;"1300";"ja";"11";"2019-06-04";14.36;"Vandprøvenummer (unikt nummer) (U_Pr_Nr) rettet til MST-174 (rettet fra MST-175) / lapjo";"MST0174";"MST0174_2019-06-04"
"184";"MST0178";"NisFlinkSoerensen";"LivII";"Fyn";"2019-06-04";"fyn6300043";"95600002";54.9977527777778;10.1669472222222;34;1;"1100";"ja";"11";"2019-06-04";14.36;NA;"MST0178";"MST0178_2019-06-04"
"185";"MST0177";"NisFlinkSoerensen";"LivII";"Fyn";"2019-06-04";"fyn6300043";"95600002";54.9977527777778;10.1669472222222;34;1;"1300";"ja";"11";"2019-06-04";14.36;NA;"MST0177";"MST0177_2019-06-04"
"186";"MST0260";"JAROB_20629477";"LIVII";"Fyn";"2019-03-07";"6500351_DSoe";"96510125";55.0256666666667;10.4172694444444;14.3;13.2;"1100";"nej";"na";"2019-03-14";5.24;NA;"MST0260";"MST0260_2019-03-07"
"187";"MST0293";"JAROB_20629477";"LIVII";"Fyn";"2019-03-07";"6500351_DSoe";"96510125";55.0256666666667;10.4172694444444;14.3;13.2;"1320";"nej";"na";"2019-03-14";5.24;NA;"MST0293";"MST0293_2019-03-07"
"188";"MST0266";"JAROB_20629477";"LIVII";"Fyn";"2019-03-07";"6500351_DSoe";"96510125";55.0256666666667;10.4172694444444;14.3;13.2;"1300";"nej";"na";"2019-03-14";5.24;NA;"MST0266";"MST0266_2019-03-07"
"189";"MST0464";"JAROBjaneRobertsen";"LIVII";"MST_oeST";"2019-09-05";"ARH170006";"94400007";56.1545944444444;10.3222166666667;16.6;1;"1600";"ja";"9";NA;17.03;NA;"MST0464";"MST0464_2019-09-05"
"190";"MST0482";"JAROBjaneRobertsen";"LIVII";"MST_oeST";"2019-09-05";"ARH170006";"94400007";56.1545944444444;10.3222166666667;16.6;1;"1700";"ja";"9";NA;17.03;NA;"MST0482";"MST0482_2019-09-05"
"191";"MST0519";"JAROBjaneRobertsen";"LIVII";"MST_oeST";"2019-09-05";"ARH170006";"94400007";56.1545944444444;10.3222166666667;16.6;1;"1700";"ja";"9";NA;17.03;NA;"MST0519";"MST0519_2019-09-05"
"192";"MST0179";"JAROB_20629477";"LIVII";"MSToeST";"2019-06-11";"ARH170006";"94400007";56.1547194444444;10.3194083333333;16;1;"1100";"ja";"8";"2019-06-11";15.5;NA;"MST0179";"MST0179_2019-06-11"
"193";"MST0180";"JAROB_20629477";"LIVII";"MSToeST";"2019-06-11";"ARH170006";"94400007";56.1547194444444;10.3194083333333;16;1;"1100";"ja";"8";"2019-06-11";15.5;NA;"MST0180";"MST0180_2019-06-11"
"194";"MST0186";"JAROB_20629477";"LIVII";"MSToeST";"2019-06-11";"ARH170006";"94400007";56.1547194444444;10.3194083333333;16;1;"1100";"ja";"8";"2019-06-11";15.5;NA;"MST0186";"MST0186_2019-06-11"
"195";"MST0207";"ALKRI_NIFSO";"DAPHNE";"MST_STORSTRoeM";"2019-03-22";"KarrebaeksmindeBugt";"95220322";55.1218333333333;11.5833694444444;11.5;10.5;"1450";"ja";"9.5";"2019-03-29";5.4;NA;"MST0207";"MST0207_2019-03-22"
"196";"MST0215";"ALKRI_NIFSO";"DAPHNE";"MST_STORSTRoeM";"2019-03-22";"KarrebaeksmindeBugt";"95220322";55.1218333333333;11.5833694444444;11.5;10.5;"1400";"ja";"9.5";"2019-03-29";5.4;NA;"MST0215";"MST0215_2019-03-22"
"197";"MST0191";"ALKRI_NIFSO";"DAPHNE";"MST_STORSTRoeM";"2019-03-22";"KarrebaeksmindeBugt";"95220322";55.1218333333333;11.5833694444444;11.5;10.5;"1400";"ja";"9.5";"2019-03-29";5.4;NA;"MST0191";"MST0191_2019-03-22"
"198";"MST0213";"PHELD_NIFSO";"DAPHNE";"MST_SjaeLLAND";"2019-04-03";"BF_14Kattegat";"93100011";56.056;11.7835333333333;16.3;15.6;"1400";"nej";"-";"2019-04-04";5.9;NA;"MST0213";"MST0213_2019-04-03"
"199";"MST0056";"PHELD_NIFSO";"DAPHNE";"MST_SjaeLLAND";"2019-04-03";"BF_14Kattegat";"93100011";56.056;11.7835333333333;16.3;15.6;"1450";"nej";"-";"2019-04-04";5.9;NA;"MST0056";"MST0056_2019-04-03"
"200";"MST0082";"PHELD_NIFSO";"DAPHNE";"MST_SjaeLLAND";"2019-04-03";"BF_14Kattegat";"93100011";56.056;11.7835333333333;16.3;15.6;"1400";"nej";"-";"2019-04-04";5.9;NA;"MST0082";"MST0082_2019-04-03"
"201";"MST0252";"ALKRI";"DAPHNE";"MST_SjaeLLAND";"2019-04-29";"BF_jammerlandbugt";"96120002";55.6616666666667;10.9839166666667;13.5;12.55;"1400";"ja";"5.0999999999999996";"2019-05-06";7.21;NA;"MST0252";"MST0252_2019-04-29"
"202";"MST0199";"ALKRI";"DAPHNE";"MST_SjaeLLAND";"2019-04-29";"BF_jammerlandbugt";"96120002";55.6616666666667;10.9839166666667;13.5;12.55;"1400";"ja";"5.0999999999999996";"2019-05-06";7.21;NA;"MST0199";"MST0199_2019-04-29"
"203";"MST0054";"ALKRI";"DAPHNE";"MST_SjaeLLAND";"2019-04-29";"BF_jammerlandbugt";"96120002";55.6616666666667;10.9839166666667;13.5;12.55;"1400";"ja";"5.0999999999999996";"2019-05-06";7.21;NA;"MST0054";"MST0054_2019-04-29"
"204";"MST0250";"STKRO";"DAPHNE";"MST_STORSTRoeM";"2019-05-08";"BF_HBFBor001";"96100043";55.9;10.3852777777778;16;15;"1400";"NEJ";"-";"2019-05-13";7.6;NA;"MST0250";"MST0250_2019-05-08"
"205";"MST0203";"STKRO";"DAPHNE";"MST_STORSTRoeM";"2019-05-08";"BF_HBFBor001";"96100043";55.9;10.3852777777778;16;15;"1400";"NEJ";"-";"2019-05-13";7.6;NA;"MST0203";"MST0203_2019-05-08"
"206";"MST0176";"STKRO";"DAPHNE";"MST_STORSTRoeM";"2019-05-08";"BF_HBFBor001";"96100043";55.9;10.3852777777778;16;15;"1400";"NEJ";NA;"2019-05-13";7.6;NA;"MST0176";"MST0176_2019-05-08"
"207";"MST0187";"Alkri";"DAPHNE";"MST_FYN";"2019-05-10";"DMU444Arkona";"99000052";55.0003333333333;13.3000277777778;46;1;"1450";"ja";"30";"2019-05-13";7.75;NA;"MST0187";"MST0187_2019-05-10"
"208";"MST0096";"Alkri";"DAPHNE";"MST_FYN";"2019-05-10";"DMU444Arkona";"99000052";55.0003333333333;13.3000277777778;46;1;"1500";"ja";"30";"2019-05-13";7.75;NA;"MST0096";"MST0096_2019-05-10"
"209";"MST0195";"Alkri";"DAPHNE";"MST_FYN";"2019-05-10";"DMU444Arkona";"99000052";55.0003333333333;13.3000277777778;46;1;"1450";"ja";"30";"2019-05-13";7.75;NA;"MST0195";"MST0195_2019-05-10"
"210";"MST0183";"NIFSO_PHELD";"DAPHNE";"MST_SjaeLLAND";"2019-05-23";"VENKBH431";"97200002";55.862;12.75;53;1;"1600";"ja";"10";"2019-06-03";11.8;NA;"MST0183";"MST0183_2019-05-23"
"211";"MST0251";"NIFSO_PHELD";"DAPHNE";"MST_SjaeLLAND";"2019-05-23";"VENKBH431";"97200002";55.862;12.75;53;1;"1600";"ja";"10";"2019-06-03";11.8;NA;"MST0251";"MST0251_2019-05-23"
"212";"MST0161";"NIFSO_PHELD";"DAPHNE";"MST_SjaeLLAND";"2019-05-23";"VENKBH431";"97200002";55.862;12.75;53;1;"1600";"ja";"10";"2019-06-03";11.8;NA;"MST0161";"MST0161_2019-05-23"
"213";"MST0192";"ALKRI_PHELD";"DAPHNE";"MST_SjaeLLAND";"2019-06-12";"Gniben";"94300001";56.1318333333333;11.1501333333333;48.3;1;"1450";"ja";"6";"2019-06-14";15.18;NA;"MST0192";"MST0192_2019-06-12"
"214";"MST0182";"ALKRI_PHELD";"DAPHNE";"MST_SjaeLLAND";"2019-06-12";"Gniben";"94300001";56.1318333333333;11.1501333333333;48.3;1;"1500";"ja";"6";"2019-06-14";15.18;NA;"MST0182";"MST0182_2019-06-12"
"215";"MST0184";"ALKRI_PHELD";"DAPHNE";"MST_SjaeLLAND";"2019-06-12";"Gniben";"94300001";56.1318333333333;11.1501333333333;48.3;1;"1500";"ja";"6";"2019-06-14";15.18;NA;"MST0184";"MST0184_2019-06-12"
"216";"MST0422";"ALKRI_PHELD";"DAPHNE";"MST_SjaeLLAND";"2019-08-26";"VENKBH431";"97200002";55.862;12.75;49;1;"1700";"ja";"11";"2019-09-02";19;NA;"MST0422";"MST0422_2019-08-26"
