Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Colper
1281.445,400.204,0
1270.528,443.8798,0
1302.591,373.4308,0
1301.558,399.0238,0
1179.554,462.6178,0
1300.222,448.3304,0
1258.463,470.2852,0
1272.67,407.9442,0
1319.983,436.8675,0
1263.63,435.905,0
1288.763,424.8564,0
1148.447,338.608,0
1311.865,371.536,0
1280.53,470.7213,0
1266.429,440.7337,0
1254.715,466.7265,0
1297.252,398.8538,0
1312.686,480.0646,0
1255.802,449.3115,0
1383.498,347.7927,0
1249.819,415.4031,0
1246.9,464.73,0
1226.093,348.6664,0
1279.09,341.5527,0
1300.602,391.8273,0
1271.005,441.2621,0
1263.627,355.6141,0
1291.541,454.0589,0
1232.038,456.4593,0
1280.712,351.8134,0
1312.434,404.1512,0
1322.455,396.2717,0
1278.874,463.4031,0
1271.165,443.2985,0
1290.725,391.1734,0
1311.467,461.8654,0
1281.515,458.5456,0
1339.716,370.296,0
1277.346,393.483,0
1316.772,441.6006,0
1282.124,427.8165,0
1120.832,284.0925,0
1316.355,430.7203,0
1288.65,376.1622,0
1315.798,455.8606,0
1256.097,466.7845,0
1233.411,332.896,0
1319.391,364.1976,0
1309.705,378.9968,0
1292.564,408.2957,0
1333.597,368.3218,0
1291.05,393.8616,0
1205.215,440.7887,0
1222.85,497.4161,0
1280.378,304.1339,0
1251.587,386.0479,0
1204.191,358.222,0
1344.089,455.7853,0
1249.301,421.0025,0
1312.518,393.7861,0
1294.352,390.8795,0
1382.815,466.2319,0
1367.086,391.9808,0
1257.355,386.3818,0
1224.232,483.0656,0
1343.307,364.6953,0
1308.151,432.0305,0
1281.889,379.5016,0
1306.323,439.0762,0
1280.461,437.9716,0
1228.184,408.3821,0
1264.572,390.3472,0
1288.089,418.0828,0
1243.121,397.8795,0
1278.093,417.2937,0
1288.657,445.9696,0
1238.032,346.0067,0
1282.153,381.6971,0
1266.604,372.0387,0
1275.706,409.1369,0
1242.971,432.512,0
1249.837,427.0545,0
1195.55,492.302,0
1215.162,316.6587,0
1189.535,407.7917,0
1218.812,461.3242,0
1277.259,385.1466,0
1341.299,382.0191,0
1270.958,450.2676,0
1279.405,449.7408,0
1341.666,389.7666,0
1240.309,449.6944,0
1271.398,433.489,0
1252.898,464.0372,0
1255.724,326.2701,0
1244.403,439.0706,0
1275.402,446.4152,0
1291.378,469.733,0
1199.501,439.8849,0
1250.799,375.4304,0
1311.485,387.7621,0
1345.106,414.6381,0
1356.81,416.1945,0
1252.843,430.0991,0
1251.08,396.7552,0
1222.268,445.8617,0
1315.175,364.2087,0
1216.083,409.5077,0
1188.45,411.671,0
1285.104,406.1308,0
1259.777,433.7698,0
1295.18,341.3412,0
1345.612,448.1094,0
1193.764,351.8286,0
1238.578,405.4856,0
1193.687,299.5524,0
1320.228,436.666,0
1306.365,363.2509,0
1263.625,374.9161,0
1257.201,379.9418,0
1333.462,443.2025,0
1230.062,342.5808,0
1357.767,406.7521,0
1260.193,474.0137,0
1269.185,393.0952,0
1256.084,436.8715,0
1323.007,402.4152,0
1252.998,393.2512,0
1283.888,418.1932,0
1289.997,353.5204,0
1200.019,450.7834,0
1259.951,449.3079,0
1349.476,413.8555,0
1212.07,469.3879,0
1287.513,416.7785,0
1221.997,428.4076,0
1183.768,336.3304,0
1294.174,446.3931,0
1221.377,399.8497,0
1237.986,427.8433,0
1228.18,451.6069,0
1271.685,401.6329,0
1262.245,380.3921,0
1244.315,494.0912,0
1184.645,382.846,0
1250.745,351.116,0
1280.69,457.4757,0
1274.719,397.2202,0
1339.589,417.9765,0
1233.862,439.0658,0
1287.13,416.8619,0
1341.597,445.1055,0
1258.935,461.7272,0
1270.981,381.4879,0
1264.191,396.4478,0
1237.746,395.2749,0
1274.725,375.3027,0
1257.891,382.959,0
1347.318,433.2925,0
1306.474,439.7176,0
1271.858,445.8199,0
1369.328,349.4793,0
1296.522,483.5478,0
1239.176,467.6147,0
1286.887,453.4614,0
1306.686,442.4007,0
1280.573,381.2549,0
1303.061,457.811,0
1203.253,356.0289,0
1273.239,494.7932,0
1344.898,401.9467,0
1298.983,409.0297,0
1203.317,401.6386,0
1310.958,380.5637,0
1338.341,396.9825,0
1332.713,462.0728,0
1307.665,463.5743,0
1234.166,394.1361,0
1211.711,446.9993,0
1308.616,378.0135,0
1236.705,365.4723,0
1233.125,376.393,0
1263.098,445.6562,0
1290.161,382.647,0
1255.656,434.1023,0
1262.028,415.9327,0
1292.07,413.5818,0
1157.021,316.6241,0
1251.084,468.1951,0
1261.236,410.5589,0
1276.527,458.4024,0
1283.196,453.1606,0
1313.334,454.0758,0
1326.152,413.2203,0
1275.202,384.0711,0
1277.27,442.8592,0
1268.129,384.0909,0
1233.618,443.7736,0
1259.944,410.4728,0
1256.94,387.6437,0
1293.552,440.9823,0
1292.283,391.8525,0
1289.85,409.3639,0
1270.071,450.4331,0
1286.616,380.0159,0
1308.128,438.3276,0
1292.512,426.4662,0
1193.081,364.175,0
1290.042,501.3013,0
1264.567,409.5966,0
1285.679,421.58,0
1322.903,375.0001,0
1285.065,408.6675,0
1310.212,455.7147,0
1321.14,426.1412,0
1220.364,435.6497,0
1324.935,408.3845,0
1302.936,364.8601,0
1268.873,371.4603,0
1317.109,447.6193,0
1315.283,415.5447,0
1276.921,419.9337,0
1263.496,469.5959,0
1280.268,367.098,0
1228.889,457.6816,0
1320.839,433.7053,0
1259.749,425.1143,0
1296.3,437.0372,0
1240.157,427.5464,0
1263.724,468.6706,0
1278.722,448.8091,0
1302.367,431.6308,0
1280.062,419.4991,0
1312.271,519.4109,0
1306.201,458.2946,0
1302.291,394.0848,0
1275.759,432.3,0
1276.371,389.7197,0
1274.364,415.4833,0
1153.807,372.0933,0
1181.589,361.2491,0
1226.796,486.5352,0
1222.093,482.4547,0
1294.547,335.7742,0
1277.774,384.959,0
1324.958,383.1091,0
1262.713,420.5582,0
1280.29,405.4872,0
1224.719,445.7232,0
1230.539,365.4947,0
1338.1,420.199,0
1219.101,395.1014,0
1279.93,425.0961,0
1301.196,447.8619,0
1256.378,379.5454,0
1310.899,408.0443,0
1227.144,321.9469,0
1260.978,432.3726,0
1258.921,457.3884,0
1291.476,383.4598,0
1270.421,430.8258,0
1335.974,410.9009,0
1250.877,427.0158,0
1294.756,426.5726,0
1301.886,365.0366,0
1206.957,475.1376,0
1290.302,395.6303,0
1305.512,353.292,0
1254.703,433.4236,0
1325.682,374.6705,0
1297.142,470.4781,0
1273.912,500.4309,0
1252.694,370.6633,0
1296.809,471.5857,0
1292.175,419.4276,0
1303.614,444.5582,0
1302.716,389.4312,0
1238.588,371.4267,0
1269.357,400.2302,0
1221.286,472.8266,0
1242.105,473.5856,0
1160.887,320.2017,0
1306.479,443.21,0
1265.681,428.757,0
1237.919,451.8533,0
1305.184,440.353,0
1272.357,443.1557,0
1291.127,456.8223,0
1301.888,406.3396,0
1309.462,343.3432,0
1277.262,391.7734,0
1297.326,444.7228,0
1330.171,421.4857,0
1257.203,409.3403,0
1295.952,397.4546,0
1313.547,374.1646,0
1261.088,460.3318,0
1263.334,481.1001,0
1254.097,406.9031,0
1338.285,429.1265,0
1357.771,397.9221,0
1289.3,472.8132,0
1366.712,434.071,0
1239.06,344.5793,0
1153.13,311.448,0
1330.925,437.9248,0
1286.802,440.1707,0
1299.306,429.6143,0
1313.583,420.5193,0
1232.923,442.6481,0
1270.463,441.183,0
1317.02,416.1906,0
1340.609,416.6122,0
1246.028,383.4635,0
1281.135,441.9799,0
1236.318,431.0189,0
1275.721,400.3014,0
1284.021,392.8461,0
1307.819,449.561,0
1224.795,402.2067,0
1278.204,385.2427,0
1263.41,479.6749,0
1326.392,392.3377,0
1272.02,412.6351,0
1279.483,430.7422,0
1283.237,380.8442,0
1311.739,392.6301,0
1310.831,382.5762,0
1188.04,328.4449,0
1300.451,412.1953,0
1274.906,406.0704,0
1268.33,453.4327,0
1293.901,376.0234,0
1252.801,380.3414,0
1254.51,428.3987,0
1320.777,373.3045,0
1262.944,456.6329,0
1346.897,395.6002,0
1258.134,440.2451,0
1260.267,364.4587,0
1318.701,419.4292,0
1244.4,489.8348,0
1285.103,444.3682,0
1272.677,418.9137,0
1167.516,307.0032,0
1283.007,395.3921,0
1236.635,388.6487,0
1285.75,377.765,0
1290.265,394.7837,0
1311.094,433.2494,0
1246.75,445.5768,0
1293.993,369.5547,0
1203.029,378.5585,0
1234.475,384.5128,0
1232.007,415.2822,0
1261.692,413.1808,0
1291.775,383.1162,0
1275.322,434.0615,0
1152.182,349.923,0
1244.486,429.8469,0
1324.753,389.9539,0
1312.006,476.646,0
1247.22,442.8979,0
1283.28,478.8241,0
1328.797,435.7212,0
1280.854,421.7836,0
1305.662,397.3662,0
1298.121,436.1014,0
1311.423,322.9673,0
1293.397,371.3153,0
1320.972,433.3143,0
1243.079,406.7396,0
1254.792,477.1755,0
1233.301,446.7935,0
1268.02,383.8527,0
1259.708,474.6751,0
1299.658,427.8013,0
1212.121,425.8806,0
1316.582,460.2729,0
1224.008,420.1007,0
1236.825,442.7368,0
1283.238,423.5494,0
1236.702,419.752,0
1215.963,397.0601,0
1241.855,389.9673,0
1239.102,488.9316,0
1301.57,373.7591,0
1309.813,452.3181,0
1341.499,372.6396,0
1269.346,457.5991,0
1281.077,368.4621,0
1181.628,391.3539,0
1256.098,431.0526,0
1239.235,449.3994,0
1339.65,465.8721,0
1225.103,473.264,0
1228.755,360.1363,0
1249.295,455.3068,0
1264.544,413.4258,0
1302.856,417.6498,0
1265.698,502.0488,0
1261.209,398.5977,0
1371.801,313.2776,0
1287.143,380.1011,0
1317.601,375.1058,0
1349.578,417.1669,0
1255.838,442.7625,0
1298.994,456.9224,0
1314.353,466.2129,0
1294.879,398.0717,0
1334.748,490.0158,0
1241.606,454.9069,0
1264.623,459.5286,0
1253.676,411.0187,0
1330.124,500.1718,0
1280.729,395.3664,0
1277.414,394.2294,0
1261.436,382.4495,0
1295.42,427.7178,0
1396.627,454.1208,0
1206.634,454.7137,0
1338.482,452.9398,0
1179.646,369.2419,0
1321.542,403.8534,0
1323.223,357.3444,0
1295.668,404.8961,0
1249.737,455.6649,0
1219.189,429.1227,0
1258.447,509.3004,0
1272.998,451.748,0
1342.197,405.3331,0
1168.459,425.3344,0
1300.926,377.1272,0
1210.849,367.6552,0
1312.613,370.2381,0
1225.707,405.9291,0
1268.619,410.0503,0
1282.549,418.7822,0
