"","Vandprvenummer_unikt_nummer_U_Pr_Nr","Ansvarlig_prvetager_navn_Navn_Inds","Skib_skib","Institution_Inst","dato_dato_inds","lokalitet_navn_omrde_Lok_omr","position_breddegrad_lok_pos","position_lngdegrad_lok_pos","Max_vanddybde_p_lokalitet_max_Dyb","Dybde_hvor_vandprve_er_indhentet_fra_Dyb_Str","Volumen_vand_filtreret_Vwf","Er_vandsjlen_lagdelt_ja_nej","Dybde_for_lagdelingen_Dyb_lagd","dato_hvor_vandprve_er_overfrt_fra_15_C_til_80_C_dato_80C","Temperatur_p_vandprve_ved_indsamling_Temp_Inds","Er_vandhenter_behrigt_skyllet_inden_vandprven_blev_indsamlet_ja_nej","Er_pose_og_filter_udskiftet_i_Amphiltrator_inden_prven_er_blevet_filtreret_ja_nej","Vandprven_blev_indsamlet_samtidigt_med_bundfauna_makroalge_zooplankton_fytoplankton_fiskeri","Restvand_er_presset_ud_af_filteret_inden_indfrysning_ja_nej","Zip_lock_pose_med_filter_er_markeret_med_dato_unikt_nummer_og_lokalitet_ja_nej","Bemrkninger","position_breddegrad_lok_pos03","position_breddegrad_lok_pos02","position_lngdegrad_lok_pos03","position_lngdegrad_lok_pos02","Vapr","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_01","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_02","tidspunkt_hvor_vandprve_er_filtreret_tdspkt_filt_01","tidspunkt_hvor_vandprve_er_filtreret_tdspkt_filt_02","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_01","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_02"
"11","MST2021040","JensDeding","Havana","MSToestjylland","2021-09-15","Tr3Fornaes",56.4437333333333,10.9524027777778,11,95,1270,"?",NA,"2021-09-22","15.7","ja","ja","Makroalger","ja","ja",NA,"5626.6239999999998","56DEGR_26MINUT_37.44SECONDS","1057.865","010DEGR_57MINUT_8.65SECONDS","MST2021040","NA",NA,"NA",NA,"NA",NA
"12","MST2021035","JensDeding","Havana","MSToestjylland","2021-09-15","Tr3Fornaes",56.4437333333333,10.9524027777778,11,95,1270,"?",NA,"2021-09-22","15.7","ja","ja","Makroalger","ja","ja",NA,"5626.6239999999998","56DEGR_26MINUT_37.44SECONDS","1057.865","010DEGR_57MINUT_8.65SECONDS","MST2021035","NA",NA,"NA",NA,"NA",NA
"13","MST2021081","LasseoerstedJensen","Haig","Sydjylland","2021-09-20","Soenderhooest",55.3375166666667,8.35012777777778,63,1,1300,"nej",NA,"2021-09-21","16","ja","ja","fytoplankton","ja","ja","RIB1510007","55°20,251","55DEGR_20MINUT_15.06SECONDS","8°21,046","8DEGR_21MINUT_0.46SECONDS","MST2021081","NA",NA,"NA",NA,"NA",NA
"14","MST2021069","LasseoerstedJensen","Haig","Sydjylland","2021-09-20","Soenderhooest",55.3375166666667,8.35012777777778,63,1,1400,"nej",NA,"2021-09-21","16","ja","ja","fytoplankton","ja","ja","RIB1510007","55°20,251","55DEGR_20MINUT_15.06SECONDS","8°21,046","8DEGR_21MINUT_0.46SECONDS","MST2021069","NA",NA,"NA",NA,"NA",NA
"15","MST2021044","LasseoerstedJensen","Haig","Sydjylland","2021-05-19","Soenderhooest",55.3375166666667,8.35012777777778,55,1,1200,"nej",NA,"2021-05-20","11","ja","ja","fytoplankton","ja","ja","RIB1510007","55°20,251","55DEGR_20MINUT_15.06SECONDS","8°21,046","8DEGR_21MINUT_0.46SECONDS","MST2021044","NA",NA,"NA",NA,"NA",NA
"16","MST2021014","LasseoerstedJensen","Haig","Sydjylland","2021-05-19","Soenderhooest",55.3375166666667,8.35012777777778,55,1,1250,"nej",NA,"2021-05-20","11","ja","ja","fytoplankton","ja","ja","RIB1510007","55°20,251","55DEGR_20MINUT_15.06SECONDS","8°21,046","8DEGR_21MINUT_0.46SECONDS","MST2021014","NA",NA,"NA",NA,"NA",NA
"17","MST2021049","LasseoerstedJensen","Fucus","Sydjylland","2021-05-21","ListerDyb",55.0938666666667,8.56828611111111,11,10,500,"nej",NA,"2021-05-21","11","ja","ja","Bundfauna","ja","ja","LISD0027","55°05,632","55DEGR_05MINUT_37.92SECONDS","8°34,583","8DEGR_34MINUT_5.83SECONDS","MST2021049","NA",NA,"NA",NA,"NA",NA
"18","MST2021048","LasseoerstedJensen","Fucus","Sydjylland","2021-05-21","ListerDyb",55.0938666666667,8.56828611111111,11,10,500,"nej",NA,"2021-05-21","11","ja","ja","Bundfauna","ja","ja","LISD0027","55°05,632","55DEGR_05MINUT_37.92SECONDS","8°34,583","8DEGR_34MINUT_5.83SECONDS","MST2021048","NA",NA,"NA",NA,"NA",NA
"19","MST2021052","FlemmingNoergaard","Belone","Fyn","2021-06-14","FYN6900017",0,0,84,1,610,"ja","26","2021-06-15","17.8","ja","ja","fytoplankton","ja","ja",NA,NA,"00DEGR_00MINUT_0SECONDS",NA,"000DEGR_00MINUT_0SECONDS","MST2021052","NA",NA,"NA",NA,"NA",NA
"20","MST2021063","FlemmingNoergaard","Belone","Fyn","2021-06-14","FYN6900017",0,0,84,1,700,"ja","26","2021-06-15","17.8","ja","ja","fytoplankton","ja","ja",NA,NA,"00DEGR_00MINUT_0SECONDS",NA,"000DEGR_00MINUT_0SECONDS","MST2021063","NA",NA,"NA",NA,"NA",NA
"21","MST2021071","FlemmingNoergaard&PauliJoergensen","Belone","Fyn","2021-10-13","FYN6900017",55.4782833333333,10.5169277777778,98,1,1500,"nej",NA,"2021-10-21","11.4","ja","ja","fytoplankton","ja","ja",NA,"55°28,697","55DEGR_28MINUT_41.82SECONDS","10°31,094","010DEGR_31MINUT_0.94SECONDS","MST2021071","NA",NA,"NA",NA,"NA",NA
"22","MST2021077","FlemmingNoergaard&PauliJoergensen","Belone","Fyn","2021-10-13","FYN6900017",55.4782833333333,10.5169277777778,98,1,1600,"nej",NA,"2021-10-21","11.4","ja","ja","fytoplankton","ja","ja",NA,"55°28,697","55DEGR_28MINUT_41.82SECONDS","10°31,094","010DEGR_31MINUT_0.94SECONDS","MST2021077","NA",NA,"NA",NA,"NA",NA
"23","MST2021005","EmilGuddalLarsen","Mergus","Sjaelland","2021-06-01","ROS60_322RoskildeFjord",55.713,12.04,48,1,1600,"nej",NA,"2021-06-10","17.1","ja","ja","fytoplankton","ja","ja",NA,"5542.78","55DEGR_42MINUT_46.8SECONDS","1204","012DEGR_2MINUT_24SECONDS","MST2021005","NA",NA,"NA",NA,"NA",NA
