Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Homame
3934.974,310.6515,0
3939.602,380.5181,0
4124.372,351.0527,0
4189.263,296.5283,0
4234.823,227.1013,0
4173.22,294.4214,0
4354.097,285.1487,0
4030.217,265.8092,0
4170.167,328.7375,0
4005.616,306.2189,0
4109.571,377.2205,0
4199.909,329.8335,0
3943.684,297.2566,0
4242.867,348.957,0
4041.302,454.4417,0
4053.908,274.5431,0
4054.285,300.8706,0
4388.01,336.7546,0
3878.481,182.4875,0
4105.589,313.6161,0
4095.458,383.7037,0
4038.643,288.6211,0
4587.842,392.1079,0
4086.958,282.1744,0
4163.3,385.8486,0
4095.781,247.2987,0
4123.758,323.8784,0
4055.348,352.9362,0
3805.14,204.9331,0
4259.936,226.6284,0
4286.992,245.7639,0
4041.775,343.4534,0
4149.565,317.5896,0
4131.214,386.3647,0
4060.926,326.3015,0
3977.723,366.8798,0
4129.478,343.1079,0
4026.853,275.4825,0
4088.352,335.5248,0
4023.604,352.2683,0
4129.309,274.8926,0
4303.577,222.0977,0
4026.709,364.155,0
3783.432,313.3657,0
4169.2,232.0935,0
4277.329,260.2795,0
4026.216,283.0187,0
4196.451,354.6218,0
4196.461,346.8113,0
4154.776,253.8396,0
4162.667,269.3318,0
4148.364,210.2336,0
4225.698,327.1099,0
4232.5,325.167,0
4215.129,294.5332,0
4100.857,357.3855,0
4216.926,285.3994,0
4546.361,366.2686,0
4241.871,309.4058,0
3928.474,246.957,0
4240.013,270.1257,0
4112.071,365.2864,0
3826.466,241.4869,0
4288.611,372.4536,0
4119.861,291.8337,0
4009.293,383.1484,0
4187.725,347.4739,0
4112.983,390.0449,0
4192.375,213.1658,0
3967.246,339.6082,0
4265.729,264.968,0
4030.177,380.2128,0
3997.851,366.1301,0
4063.686,295.2946,0
4183.354,230.4976,0
4063.865,329.1528,0
3940.947,358.3741,0
4235.817,268.5186,0
3997.614,346.0039,0
4188.887,363.1609,0
4072.71,327.8623,0
4089.346,197.5039,0
4140.09,386.7275,0
4060.288,346.6559,0
4115.655,228.0485,0
4321.673,278.7922,0
4156.305,285.3052,0
4021.395,261.9037,0
3924.709,301.4711,0
4864.767,273.8726,0
4237.935,312.7463,0
4060.692,351.1406,0
3961.41,253.1646,0
4120.55,305.5544,0
4336.531,345.5957,0
4249.865,332.4158,0
4205.035,289.2922,0
4095.005,353.9135,0
4139.823,297.9729,0
4155.254,360.9712,0
4169.546,349.926,0
4131.14,290.2688,0
4173.647,388.8069,0
4191.247,391.8677,0
4196.137,230.1101,0
3955.516,341.7617,0
3803.934,247.9917,0
4101.778,336.0604,0
4163.593,307.2698,0
4168.958,281.4329,0
3840.34,212.1641,0
4119.385,287.2504,0
4232.813,290.052,0
3937.063,310.5695,0
3988.087,382.2372,0
3887.928,401.1844,0
4161.626,291.6775,0
4121.577,332.116,0
4208.65,359.8486,0
3873.749,261.2092,0
4186.268,362.1821,0
4114.715,269.9524,0
3872.395,307.5588,0
3980.619,264.7535,0
4039.27,186.8947,0
4333.671,299.8057,0
4098.51,296.1479,0
4142.759,394.7498,0
3991.748,272.9937,0
4173.663,286.2095,0
4229.562,243.626,0
4085.687,273.4559,0
4231.482,299.6072,0
4327.593,288.0081,0
4082.21,328.5631,0
4225.197,288.7688,0
4176.753,350.7468,0
4177.721,353.6445,0
3906.778,412.5187,0
3989.386,275.3971,0
4085.715,399.4524,0
4257.742,237.2607,0
4227.024,368.5684,0
4037.802,286.4381,0
4289.189,298.0857,0
3839.523,359.4524,0
4074.092,288.5983,0
4151.985,267.5061,0
4107.523,343.4103,0
4169.643,348.5371,0
3901.859,358.7063,0
4138.611,313.8628,0
3945.261,251.8765,0
4234.293,327.7271,0
4090.386,351.7708,0
4124.368,358.6904,0
4169.641,411.2827,0
4035.992,316.248,0
3954.605,255.5688,0
4276.681,285.4751,0
4324.924,207.1965,0
3827.19,328.2501,0
4125.349,379.448,0
3950.953,373.7343,0
4169.035,276.4314,0
4038.333,340.2832,0
3982.143,289.9423,0
3743.854,266.0814,0
4271.283,208.7883,0
4172.874,274.9622,0
3994.935,407.275,0
4137.277,305.0007,0
3893.538,334.118,0
3834.58,324.5978,0
4055.568,305.8412,0
4102.389,335.886,0
4164.354,259.0022,0
4156.096,261.845,0
4040.243,412.1721,0
4142.298,288.9878,0
4201.854,284.7288,0
4108.193,359.8768,0
4023.077,365.453,0
4201.336,371.7654,0
4053.168,273.0432,0
4037.81,385.3519,0
4147.415,279.3389,0
4296.045,394.9951,0
3986.619,327.6147,0
4121.605,238.3362,0
4292.635,256.9702,0
4240.057,300.5811,0
3897.294,349.8887,0
4178.718,294.1292,0
4056.375,424.6959,0
4041.88,354.4268,0
3820.23,282.2041,0
4111.721,355.1558,0
3959.714,317.3759,0
3869.696,246.614,0
4160.561,310.9937,0
4039.16,300.2374,0
4120.089,284.0205,0
4033.531,383.6516,0
4015.495,381.9417,0
4088.896,298.8934,0
3977.222,326.7635,0
4092.666,320.3867,0
4159.482,282.3279,0
4202.335,263.0159,0
4035.433,244.5967,0
4133.155,241.804,0
4188.44,248.5825,0
4215.982,222.98,0
4201.729,329.0571,0
4204.105,382.5986,0
4131.572,354.7551,0
4109.667,364.4646,0
4256.5,315.5701,0
4128.209,363.5798,0
3995.722,325.033,0
4072.517,282.8466,0
4002.899,412.795,0
3952.621,309.7507,0
4148.294,338.3132,0
4107.736,299.7013,0
3997.897,305.871,0
4097.625,329.7839,0
4251.023,263.1765,0
4179.136,334.5957,0
4136.963,308.0103,0
4101.723,344.1991,0
4240.747,285.7385,0
3987.903,324.3807,0
4325.334,210.947,0
4041.246,374.5941,0
4145.883,362.719,0
4226.311,326.3479,0
4149.538,313.2048,0
4250.077,238.2751,0
4155.933,389.1021,0
4008.078,384.8419,0
4085.575,353.1207,0
4174.651,313.8845,0
4114.375,251.0548,0
3955.751,287.0131,0
4142.206,383.9087,0
4149.393,234.0662,0
4147.351,298.3652,0
4165.93,295.2673,0
3992.461,273.7797,0
4086.32,303.6899,0
3954.919,395.366,0
4105.061,346.8812,0
4149.66,282.1169,0
4039.167,373.8423,0
4061.38,311.2683,0
4129.769,312.9148,0
4321.619,229.8362,0
4220.651,342.1545,0
