Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Hemsan
2116.596,338.9539,0
2089.843,291.2935,0
2120.041,325.3787,0
2128.104,363.333,0
2235.275,330.4338,0
2106.533,334.8475,0
2177.898,338.5205,0
2026.511,379.0396,0
2019.538,381.0775,0
2098.249,300.0781,0
2062.35,305.4911,0
2205.596,274.6849,0
2137.016,370.2925,0
2006.405,347.1061,0
2239.839,241.9768,0
2087.732,398.1105,0
2096.052,326.2209,0
2013.433,371.1001,0
2260.498,325.2651,0
2011.993,329.9392,0
2136.283,353.173,0
2244.546,289.2662,0
2249.138,327.4485,0
2092.157,294.1613,0
2110.475,324.6188,0
2359.391,269.9115,0
2131.819,267.7084,0
2224.655,271.4567,0
2156.877,337.5216,0
2178.617,324.1045,0
2112.206,295.505,0
2091.2,359.608,0
2021.862,354.3484,0
2210.537,309.3508,0
2156.817,393.1351,0
2088.49,310.1285,0
2172.924,340.5184,0
2180.921,285.0923,0
2088.798,360.3065,0
2125.97,328.1057,0
2034.81,352.0472,0
2076.131,289.7744,0
1979.719,402.9564,0
2193.892,257.9777,0
2216.477,325.5718,0
2271.876,262.3206,0
1995.036,403.5652,0
2040.404,245.3649,0
2311.439,324.0338,0
2045.38,368.1895,0
2153.539,371.9619,0
2182.221,308.7168,0
2104.986,336.1223,0
2108.059,295.9346,0
2170.488,357.7802,0
2248.538,324.8203,0
2165.082,334.6818,0
2048.408,317.8613,0
2254.7,283.4603,0
2047.315,342.4719,0
2127.021,311.3846,0
1977.696,312.2642,0
2189.407,306.9463,0
2095.342,320.2793,0
2201.295,260.0552,0
2043.125,367.2743,0
2090.591,335.2126,0
2081.979,383.5151,0
2025.647,363.3615,0
2018.704,331.5367,0
2170.685,311.3794,0
2111.692,354.2885,0
2016.328,324.3245,0
2109.282,323.1946,0
2102.07,386.6182,0
2166.412,292.5234,0
2134.529,310.2358,0
2075.403,351.4694,0
2025.429,350.9141,0
1952.397,367.8088,0
2301.156,277.1782,0
2083.305,347.3352,0
2112.659,321.713,0
2205.752,314.5135,0
2022.488,416.8446,0
2081.199,375.4823,0
2157.936,320.9777,0
2003.826,300.6017,0
2096.327,291.5575,0
2147.42,337.2865,0
2137.445,260.4592,0
2136.297,287.8905,0
2135.535,222.2876,0
2092.284,292.4785,0
2089.286,337.1454,0
2046.175,361.2491,0
2284.438,264.9065,0
2120.205,214.9191,0
2100.889,276.2699,0
2111.21,304.8875,0
2062.311,348.9232,0
2071.763,368.5269,0
2246.719,335.1993,0
2153.909,329.087,0
2062.468,314.8622,0
2158.951,317.2047,0
2064.899,359.4537,0
2116.109,397.6498,0
2145.483,336.8018,0
2020.172,331.5901,0
2112.4,282.8434,0
1975.302,312.3121,0
2115.136,376.8683,0
2113.778,317.9937,0
2155.05,304.7146,0
2089.346,301.7222,0
2121.16,378.5897,0
2150.998,333.0458,0
1960.085,361.2797,0
2158.253,327.3461,0
2093.481,349.8988,0
2183.894,357.5242,0
2092.119,308.032,0
2047.349,368.2412,0
1974.002,394.4774,0
2107.802,362.9797,0
2096.888,331.4589,0
2111.323,317.5706,0
2058.408,313.2831,0
2104.067,287.917,0
2145.072,249.0413,0
2079.278,367.4678,0
2125.128,390.3312,0
2043.987,327.7103,0
2210.688,326.2504,0
2062.58,308.6971,0
2096.324,344.7283,0
2237.887,272.4932,0
2080.129,273.6667,0
2184.845,336.7524,0
2063.883,332.6577,0
2177.817,345.8342,0
2152.183,264.4486,0
2185.893,387.8425,0
2207.84,350.3156,0
2236.034,299.5676,0
2088.519,353.6378,0
2092.587,254.0963,0
2092.61,358.5598,0
2154.531,317.7537,0
2020.387,347.1495,0
2068.272,337.2307,0
1987.74,477.6473,0
2097.76,252.5333,0
2006.802,438.3032,0
2172.438,315.8616,0
2143.887,373.7406,0
2105.53,331.5005,0
2061.371,308.1886,0
2047.573,373.6907,0
2172.105,299.36,0
2179.68,346.1827,0
2151.12,210.8723,0
2141.158,296.9214,0
2173.79,348.3009,0
2117.829,387.3057,0
2135.283,315.4126,0
2117.844,282.1068,0
2026.653,352.5111,0
2082.584,307.4396,0
2252.629,352.2404,0
2144.539,329.1974,0
2191.433,317.4,0
2034.345,361.993,0
2119.773,324.118,0
2246.461,335.2711,0
2158.704,365.3052,0
2120.538,410.1503,0
2116.601,366.0243,0
2289.814,322.5514,0
2031.904,363.6919,0
2126.037,330.0475,0
2097.179,232.3699,0
2125.23,346.1169,0
2276.529,344.9929,0
2095.642,300.8317,0
2052.625,382.2231,0
2130.768,306.8546,0
2158.206,235.1501,0
2100.449,303.8053,0
2078.28,371.5311,0
2121.02,379.8939,0
2060.092,370.9196,0
2175.989,396.7491,0
2168.975,357.1332,0
2101.785,314.5374,0
2138.961,360.7517,0
2059.747,336.3995,0
2140.706,329.7202,0
2171.938,256.0532,0
2187.934,355.4277,0
2239.393,319.4463,0
2176.018,366.7904,0
2154.038,447.0074,0
2120.123,362.7274,0
2007.054,373.2369,0
2289.637,322.6279,0
2031.184,272.5731,0
2184.868,342.6599,0
2161.782,305.8218,0
2177.713,257.6022,0
2245.747,334.9346,0
2208.454,257.9528,0
2274.205,399.9674,0
2033.636,306.0367,0
2044.865,294.9962,0
2240.973,317.4,0
2061.828,287.6171,0
2114.146,350.3792,0
2222.714,310.4724,0
2076.479,297.1869,0
2086.893,308.8889,0
2123.96,372.0035,0
2235.175,276.3633,0
2194.516,364.4496,0
2158.876,336.1818,0
2078.347,345.6228,0
2052.298,317.0209,0
2153.8,342.7906,0
2077.982,353.2466,0
