Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Promin
6199.526,81.36938,0
6672.191,173.7122,0
9291.434,488.9512,0
7404.732,127.502,0
8683.611,446.1563,0
9332.345,630.5498,0
6292.492,99.8772,0
7261.118,188.6519,0
9140.228,464.1665,0
5746.82,120.9185,0
7984.948,242.53,0
7460.215,260.8777,0
6010.339,75.54175,0
5859.771,218.574,0
8409.639,355.4819,0
9168.61,365.1401,0
6914.672,142.428,0
8895.921,408.4087,0
6956.098,87.02832,0
8711.121,439.6343,0
6769.962,114.3074,0
8701.944,250.9468,0
8832.814,350.1318,0
7109.313,196.6213,0
8299.663,360.0186,0
8466.881,315.479,0
9245.761,589.4146,0
9253.488,573.6753,0
8929.717,389.5098,0
9050.72,454.7983,0
8407.245,323.8047,0
6088.887,177.8523,0
6611.937,179.366,0
7783.58,169.3853,0
7936.079,362.0293,0
7370.229,179.1711,0
6293.399,118.8892,0
5926.43,187.113,0
8760.019,412.2456,0
6550.986,120.5671,0
8873.031,526.498,0
8536.932,373.5693,0
9628.252,530.6475,0
8600.586,233.9028,0
8799.766,357.4331,0
8798.648,514.3813,0
8949.751,408.5049,0
8314.059,342.1074,0
8667.409,305.688,0
8458.525,331.9351,0
8230.497,246.5698,0
8342.136,244.665,0
6594.3,191.2944,0
7485.709,103.0439,0
6319.708,83.93262,0
9382.977,480.8213,0
8187.434,151.6624,0
6204.183,106.8699,0
6851.056,138.3022,0
8885.012,537.0576,0
8853.133,441.7446,0
9162.601,260.7324,0
8102.287,340.4189,0
9025.731,403.8843,0
9335.394,479.8599,0
9594.702,527.9351,0
6395.856,212.5112,0
7365.174,161.2107,0
9143.566,536.1567,0
7291.921,226.8015,0
7238.333,269.5701,0
9082.796,506.3965,0
8991.917,359.3643,0
8955.322,453.104,0
9573.592,527.9961,0
8739.397,474.4087,0
9081.378,392.8345,0
9054.885,413.5869,0
9176.301,343.3169,0
9309.609,424.8018,0
7112.208,106.7148,0
8998.859,313.2393,0
8477.804,298.8604,0
8984.666,462.3374,0
7643.576,317.4631,0
9048.471,373.6436,0
6681.563,212.5667,0
5793.07,46.69067,0
5872.277,156.3911,0
6616.809,179.6797,0
8692.098,311.0571,0
9139.143,367.6226,0
8387.589,328.5273,0
9050.872,263.793,0
8474.055,292.2241,0
6243.884,67.19629,0
9233.013,379.3589,0
7138.086,274.0161,0
8841.692,389.8237,0
9163.708,374.8809,0
8892.348,487.272,0
7479.111,191.9502,0
7401.16,256.2649,0
9009.239,461.4282,0
8862.547,331.4688,0
6338.603,87.49756,0
5784.638,85.62109,0
9140.14,480.9604,0
7737.317,211.5022,0
7295.303,154.366,0
6904.707,247.6975,0
9135.518,295.7729,0
6260.694,130.1941,0
7534.958,211.4561,0
8787.441,405.0,
6000.103,-2.895264,0
9050.074,312.3682,0
9029.664,434.6445,0
6036.116,64.91968,0
6918.998,114.0918,0
8807.255,530.6182,0
6812.623,261.0232,0
9139.15,358.3105,0
9178.221,366.1338,0
9350.943,485.6216,0
9160.018,402.4639,0
7040.959,124.6033,0
8488.591,452.582,0
8408.046,459.9932,0
9393.777,411.6582,0
8758.389,486.7271,0
6650.843,127.7085,0
5926.09,151.0652,0
7863.369,322.7227,0
7029.81,99.53296,0
7279.479,261.4922,0
8806.656,442.0728,0
7485.212,195.2917,0
5825.009,95.09033,0
9004.614,476.2681,0
9259.811,331.1343,0
6621.248,120.6868,0
8832.921,391.1821,0
8906.866,523.9912,0
8873.736,518.438,0
8875.015,356.1694,0
8471.354,236.0918,0
8826.046,339.8486,0
6283.026,170.7683,0
8743.222,406.0464,0
6035.008,47.68701,0
7720.639,230.3862,0
9043.153,294.1138,0
8822.956,386.6094,0
9048.587,489.9243,0
5743.267,199.8638,0
6085.057,124.8218,0
9154.966,497.1934,0
9219.952,570.0854,0
8958.772,484.7192,0
9293.723,369.8018,0
7325.652,234.3542,0
8834.615,365.5332,0
9183.342,456.272,0
8237.419,310.5002,0
7003.043,182.4578,0
7035.965,245.5662,0
6816.998,90.99463,0
8686.874,366.1855,0
6102.81,143.7427,0
6116.153,171.2827,0
8904.401,381.875,0
6129.464,205.6558,0
8590.855,321.0503,0
9510.857,359.9639,0
7123.695,226.4844,0
8714.066,403.6025,0
8879.85,508.0913,0
6883.35,246.1631,0
8494.198,518.7319,0
7369.768,215.0515,0
8738.155,309.0791,0
8411.257,396.4468,0
8518.672,398.3638,0
8863.131,400.1162,0
8395.955,407.1353,0
9264.234,490.1284,0
8373.764,411.6953,0
7508.17,399.425,0
8695.877,356.1079,0
9169.403,557.6162,0
8517.443,358.0156,0
8069.122,361.5144,0
6641.449,197.6978,0
5710.729,10.2666,0
8985.239,355.3545,0
5613.289,87.32129,0
8898.567,350.1899,0
8936.872,430.8105,0
6034.768,53.84204,0
5878.779,39.64014,0
6709.28,45.26807,0
7965.368,232.8723,0
5929.971,188.7473,0
6746.945,129.3364,0
8622.191,431.0825,0
6789.959,166.8811,0
9075.382,458.2417,0
8584.347,266.6411,0
8081.41,285.6484,0
8767.69,438.3525,0
8829.426,319.5674,0
6233.565,91.61938,0
5970.059,33.39917,0
8810.236,365.5767,0
6727.252,127.3958,0
9159.341,439.229,0
8548.723,363.1948,0
7362.28,212.6997,0
8896.337,437.7612,0
8557.381,404.6523,0
7521.948,184.9785,0
8948.682,421.0459,0
7342.414,220.6133,0
9123.74,396.4766,0
8515.266,446.3296,0
9051.146,515.0,
5631.476,116.5122,0
6827.94,133.0347,0
9446.038,589.9766,0
6471.918,334.2036,0
8952.433,348.8467,0
6573.432,126.8467,0
8278.219,401.2988,0
8917.879,488.3076,0
8742.771,441.999,0
7338.097,74.88965,0
8727.814,462.7778,0
9102.012,569.0273,0
6875.028,191.9861,0
8673.728,392.7129,0
7573.582,210.6021,0
8421.039,407.9858,0
7990.387,314.761,0
9338.004,416.7422,0
9133.188,477.0156,0
7487.201,131.4629,0
8987.989,372.9868,0
8706.597,352.4106,0
6292.358,100.5212,0
6723.297,91.31396,0
9368.965,392.7446,0
9012.828,456.061,0
6649.014,134.3757,0
8829.566,380.126,0
9030.394,471.4961,0
8064.675,332.3564,0
9300.805,329.3477,0
9363.805,554.4658,0
7546.635,264.9109,0
6976.102,175.4138,0
8609.974,375.7202,0
9025.863,448.7402,0
7862.385,222.7085,0
8946.53,416.1401,0
9270.196,432.3501,0
9259.66,375.5088,0
5792.971,173.2256,0
9675.372,492.1128,0
9134.862,542.6123,0
7562.312,160.1167,0
9092.079,445.8584,0
8587.885,416.6572,0
8715.372,345.7734,0
9111.028,318.23,0
6130.696,97.79639,0
6204.458,99.20801,0
9012.4,352.689,0
8988.869,436.0161,0
8903.109,431.1929,0
8642.903,409.0938,0
6351.552,126.8765,0
8177.525,328.311,0
9390.699,574.9263,0
9241.908,482.4663,0
6741.879,153.5242,0
9242.639,478.4678,0
8528.534,386.8774,0
8901.844,344.9028,0
8632.08,397.6938,0
8798.357,412.1387,0
9092.763,323.4722,0
7803.024,142.9973,0
6372.348,231.0049,0
8905.986,560.3394,0
9202.104,378.7749,0
7177.91,144.2507,0
8377.994,423.123,0
8716.711,462.0078,0
7944.043,334.4241,0
6198.917,100.2361,0
7316.45,260.8462,0
7443.828,234.927,0
8852.492,378.1523,0
8685.959,383.5391,0
6209.764,80.77319,0
8860.131,458.0239,0
9174.506,434.3628,0
6120.787,177.1052,0
6873.054,209.6931,0
8760.787,405.3354,0
8994.581,378.6128,0
8582.14,280.7998,0
8048.306,157.8621,0
8103.989,314.2532,0
8023.592,402.512,0
7438.837,318.196,0
6108.532,203.1526,0
8729.479,318.6294,0
8476.648,472.9395,0
8309.673,399.7041,0
8712.859,395.4521,0
8300.903,392.9004,0
8335.666,397.6875,0
6077.695,167.8577,0
5896.819,-26.2395,0
8959.831,372.1523,0
8622.874,353.8486,0
8056.915,303.0381,0
8123.144,157.2339,0
9122.248,370.2827,0
6445.643,121.3809,0
5913.493,103.9348,0
9127.137,384.5347,0
8715.74,447.4385,0
9193.489,568.3872,0
9322.136,605.5425,0
6018.539,109.3965,0
5849.496,117.8115,0
6034.411,119.2761,0
9059.612,440.6704,0
9246.035,386.2646,0
7630.301,261.1887,0
8866.597,452.2231,0
9270.521,486.3794,0
8778.832,619.0249,0
8936.06,454.1704,0
6095.607,110.4321,0
9600.186,426.5503,0
8828.418,447.6416,0
9058.268,464.5342,0
7848.724,287.6943,0
6384.488,207.3679,0
9351.399,455.5474,0
7109.638,118.3425,0
9061.137,403.4922,0
9351.084,529.5234,0
9181.105,364.0776,0
7438.057,286.7139,0
5805.267,154.3835,0
8893.909,409.6411,0
7335.202,252.1223,0
9259.913,468.0381,0
6091.654,34.17529,0
8208.582,373.7969,0
6306.792,97.12915,0
8927.915,374.9316,0
10075.02,623.0571,0
9689.663,504.9063,0
8695.036,350.707,0
9026.402,316.8359,0
5933.213,196.4685,0
8825.233,388.1948,0
8849.242,314.9414,0
6241.129,106.3289,0
9261.01,430.3096,0
5966.685,10.15308,0
6733.389,217.238,0
7537.116,106.3679,0
8891.316,292.0913,0
7794.164,337.7742,0
6895.91,153.1716,0
8751.722,331.728,0
9109.724,230.2158,0
8774.364,287.5405,0
6955.373,189.7014,0
9239.622,274.374,0
9193.294,490.0029,0
8886.805,430.5,0
7359.196,194.5137,0
6846.729,167.9104,0
7374.669,251.802,0
8435.732,318.666,0
8269.494,268.2305,0
8865.453,277.6938,0
7641.401,168.1824,0
9247.866,128.229,0
8101.93,441.6155,0
7079.7,135.2117,0
6527.816,148.4937,0
8801.604,292.1528,0
8723.68,232.9722,0
8990.316,366.689,0
7628.367,301.4824,0
8593.092,304.8169,0
8678.77,424.8813,0
5968.147,69.89673,0
8891.427,382.3701,0
6459.854,167.877,0
7244.35,374.2288,0
8856.014,455.1865,0
9326.572,506.0859,0
9181.435,421.2432,0
8553.134,307.9346,0
8560.5,473.4126,0
7759.685,332.7205,0
8489.064,462.1084,0
9116.096,338.4033,0
8476.389,288.5781,0
8873.604,369.1914,0
7725.396,131.6533,0
8963.876,409.5869,0
9200.321,291.6406,0
8859.622,327.0488,0
8470.329,418.8584,0
