"","Prøvetagnings_skema for TA_X01","Vandprøvenummer (unikt nummer) (U_Pr_Nr)","Ansvarlig prøvetager, navn (Navn_Inds)","Skib (skib)","Institution (Inst)","dato (dato_inds)","lokalitet, navn/område (Lok_omr)","position, breddegrad (lok_pos)","position, længdegrad (lok_pos)","Max vanddybde på lokalitet (max_Dyb)","Dybde hvor vandprøve er indhentet fra (Dyb_Str)","Volumen vand filtreret (Vwf)","Er vandsøjlen lagdelt, (ja/nej)","Dybde for lagdelingen (Dyb_lagd)","tidspunkt hvor vandprøve er indsamlet (tdspkt_inds)","tidspunkt hvor vandprøve er filtreret (tdspkt_filt)","tidspunkt hvor vandprøve er indfrosset (<-15°C) (tdspkt_indfr)","dato hvor vandprøve er overført fra -15°C til -80°C (dato_80C)","Temperatur på vandprøve ved indsamling (Temp_Inds)","Er vandhenter behørigt skyllet inden vandprøven blev indsamlet (ja/nej)","Er pose og filter udskiftet i Amphiltrator inden prøven  er blevet filtreret (ja/nej)","Vandprøven blev indsamlet samtidigt med (bundfauna/makroalge/zooplankton/fytoplankton /fiskeri)","Restvand er presset ud af filteret inden indfrysning (ja/nej)","Zip-lock pose med filter er markeret med dato, unikt nummer og lokalitet (ja/nej)","Bemærkninger"
"87",NA,"MST2021-083","alkri","Sif","MST FYN","44491","FYN6300043","54°59'861 N","010°09'623 Ø",34,"1","1500 ml","Ja","12","07:38 UTC","08:01 UTC","08:04 UTC","29.10.2021",12.5,"Ja","Ja","Plankton","ja","ja",NA
"88",NA,"MST2021-073","alkri","Sif","MST FYN","44491","FYN6300043","54°59'861 N","010°09'623 Ø",34,"1","1600 ml","Ja","12","07:38 UTC","08:25 UTC","08:28 UTC","29.10.2021",12.5,"Ja","Ja","Plankton","ja","ja",NA
"89",NA,"MST2021-006","Nicolai Espenhain Anker","ABRA","MST STO","44432","1001027 Hovedeskov","54 44.465","12 05,665",10.6,"9.6","1400","Nej","-","10:25 UTC","10:46 UTC","10:58 UTC","44433",17.3,"ja","ja","Ålegræs","ja","ja",NA
"90",NA,"MST2021-026","Nicolai Espenhain Anker","ABRA","MST STO","44432","1001027 Hovedeskov","54 44.465","12 05,665",10.6,"9.6","1400","Nej","-","10:25 UTC","10:46 UTC","10:58 UTC","44433",17.3,"ja","ja","Ålegræs","ja","ja",NA
"91",NA,"MST2021-011","Nicolai Espenhain Anker","ABRA","MST STO","44439","0401011 Femeren Bælt Vest","54 44,085","11 05,475",5.1,"4.0999999999999996","1500","Nej","-","09:25 UTC","09:40 UTC","09:49 UTC","44411",17.09,"ja","ja","Ålegræs","ja","ja",NA
"92",NA,"MST2021-033","Nicolai Espenhain Anker","ABRA","MST STO","44439","0401011 Femeren Bælt Vest","54 44,085","11 05,475",5.1,"4.0999999999999996","1500","Nej","-","09:25 UTC","09:40 UTC","09:49 UTC","44411",17.09,"ja","ja","Ålegræs","ja","ja",NA
"93",NA,"MST2021-002","Jakob Ole Larsen","ABRA","MST STO","44384","0101142 Enø Nor","55 09,453","11 38,886",6.7,"5.7","1000","Nej","-","06:23 UTC","06:43 UTC","06:50 UTC","44385",20.4,"ja","ja","makroalger","ja","ja",NA
"94",NA,"MST2021-023","Jakob Ole Larsen","ABRA","MST STO","44384","0101142 Enø Nor","55 09,453","11 38,886",6.7,"5.7","1000","Nej","-","06:23 UTC","06:43 UTC","06:50 UTC","44385",20.4,"ja","ja","makroalger","ja","ja",NA
"95",NA,"MST2021 - 040","Jens Deding","Havana","MST Østjylland","15_09_2021","Tr. 3 Fornæs","5626.6239999999998","1057.865",11,"9.5","1270","?",NA,"11.10","11.22","11.25","22_09_2021",15.7,"Ja","Ja","Makroalger","Ja","Ja",NA
"96",NA,"MST2021 - 035","Jens Deding","Havana","MST Østjylland","15_09_2021","Tr. 3 Fornæs","5626.6239999999998","1057.865",11,"9.5","1270","?",NA,"11.30","11.43","11.46","22_09_2021",15.7,"Ja","Ja","Makroalger","Ja","Ja",NA
"97",NA,"MST2021-032","Svend Åge Bendtsen","Pingo","Nordjylland","44370","Kragskov Rev Syd","5732.4459999999999","1028.761",4,"3","1.4","nej",NA,"0.52083333333333337","0.58680555555555558","0.59722222222222221","44380",15.7,"ja","ja","makroalger","ja","ja","er udtaget med Niskin vandhenter"
"98",NA,"MST2021-045","Svend Åge Bendtsen","Pingo","Nordjylland","44370","Kragskov Rev Syd","5732.4459999999999","1028.761",4,"3","1.6","nej",NA,"0.52083333333333337","0.59722222222222221","0.61458333333333337","44380",15.7,"ja","ja","makroalger","ja","ja","er udtaget med Niskin vandhenter"
"99",NA,"MST2021-013","Emil Guddal Larsen","Mergus","Sjælland","44433","ROS60","5542.78","1204",4.8,"1","1600 mL","Nej",NA,"0.49305555555555558","0.50694444444444442","0.50763888888888886","44449",17.9,"Ja","Ja","Fytoplankton","Ja","Ja",NA
"100",NA,"MST2021-003","Emil Guddal Larsen","Mergus","Sjælland","44433","ROS60","5542.78","1204",4.8,"1","1750 mL","Nej",NA,"0.50694444444444442","0.53888888888888886","0.5395833333333333","44449",17.9,"Ja","Ja","Fytoplankton","Ja","Ja",NA
